Position,Nl_H2O,Nv_H2O,kv_H2O,a_eA,DF_H2O,fv_H2O,fl_H2O,P_sat_H2O
0.0,-5.787838217912003,5.787838217912003,3.48430331120965e-05,72.97815783678799,-2276.1848747428776,8955.631130398731,11231.816005141609,12814.561133686526
0.01,-4.859116822673915,4.859116822673915,3.526103813937959e-05,73.06041152279592,-1886.1669551157793,10520.914602626715,12407.081557742495,14140.813177277316
0.02,-4.193607556598513,4.193607556598513,3.560057749686817e-05,73.12910854154697,-1610.7957085163725,11818.23462359028,13429.030332106653,15292.469876177885
0.03,-3.698235068165518,3.698235068165518,3.5886724801017966e-05,73.18823912886296,-1408.0542564401712,12928.642883617686,14336.697140057857,16314.093208356828
0.04,-3.3179888936946065,3.3179888936946065,3.613414181460452e-05,73.24023191505133,-1253.739972324698,13901.336307803293,15155.07628012799,17234.19830425082
0.05,-3.0169859449450596,3.0169859449450596,3.635150074756624e-05,73.28655167336436,-1132.4698652482875,14766.283275898208,15898.753141146495,18069.442874059947
0.06,-2.7762565750094255,2.7762565750094255,3.6546300153291015e-05,73.32851326247862,-1035.9607553161459,15548.465703978944,16584.42645929509,18838.816782409147
0.07,-2.578907244751792,2.578907244751792,3.672272089773906e-05,73.36686616560058,-957.1960582601369,16263.141025740284,17220.33708400042,19551.713312746142
0.08,-2.415316077597765,2.415316077597765,3.688441013767892e-05,73.40227630513881,-892.1165609444288,16923.059643268825,17815.176204213254,20218.010041910937
0.09,-2.27803013386135,2.27803013386135,3.7033992949047416e-05,73.4352328238505,-837.6342925943209,17537.703668681304,18375.337961275625,20844.97239888067
0.1,-2.161016315753636,2.161016315753636,3.717333402742139e-05,73.466086429578,-791.2971950904903,18113.965553096543,18905.262748187033,21437.64908194355
0.11,-2.060679599885927,2.060679599885927,3.7304110447008e-05,73.49515756256815,-751.6143413426835,18657.89523916325,19409.50958050593,22001.21250339348
0.12,-1.9734293061304042,1.9734293061304042,3.7427454703509904e-05,73.5226638822747,-717.1500711483532,19173.758786690883,19890.908857839237,22538.879643116514
0.13,-1.8969707977770183,1.8969707977770183,3.754438260699599e-05,73.54880256974315,-686.9736382005613,19665.292242727337,20352.2658809279,23053.833617021974
0.14,-1.829415924027427,1.829415924027427,3.7655698507004256e-05,73.57373087125318,-660.3268664362222,20135.48436452301,20795.811230959232,23548.60596507499
0.15,-1.7690883751722923,1.7690883751722923,3.776202578095683e-05,73.59757103266439,-636.547421005067,20586.67819905323,21223.225620058296,24025.10595926383
0.16,-1.7149392561563837,1.7149392561563837,3.7863939212475445e-05,73.62043680170673,-615.2116595658335,21020.990523063097,21636.20218262893,24485.254002888258
0.17,-1.6658408366078703,1.6658408366078703,3.7961864198201754e-05,73.64241241182984,-595.8788433667396,21440.024589458408,22035.903432825147,24930.371595986166
0.18,-1.6210315571007083,1.6210315571007083,3.8056189456612016e-05,73.6635753913552,-578.2469819211801,21845.219370273862,22423.466352195042,25361.749678869655
0.19,-1.5798564876051628,1.5798564876051628,3.814723779361615e-05,73.68399038241358,-562.0583500471403,22237.771868220287,22799.830218267427,25780.45554354208
0.2,-1.5416937265427662,1.5416937265427662,3.823527054723519e-05,73.70370986504038,-547.0721279904756,22618.656601733634,23165.72872972411,26187.324315647216
0.21,-1.5061447028434853,1.5061447028434853,3.832053187012715e-05,73.72278326253235,-533.1304002632096,22988.766776767516,23521.897177030725,26583.191846192596
0.22,-1.4727545369066937,1.4727545369066937,3.8403210583875815e-05,73.74124889637542,-520.0586770791924,23348.801663215785,23868.860340294978,26968.656851524465
0.23,-1.4412052079475717,1.4412052079475717,3.8483480843135136e-05,73.75914241635357,-507.7332639704837,23699.39547038092,24207.128734351405,27344.30127387761
0.24,-1.411215258748309,1.411215258748309,3.856149043074091e-05,73.77649429777507,-496.04541255970616,24041.083707500668,24537.129120060374,27710.61250040759
0.25,-1.382505613600252,1.382505613600252,3.863736122015527e-05,73.79332989900769,-484.8890056821001,24374.307453123478,24859.196458805578,28067.97443575387
