Position,Cl_CO2,Cl_MEA,Cl_H2O,Cl_CO2_true,Cl_MEA_true,Cl_H2O_true,Cl_MEAH_true,Cl_MEACOO_true,Cl_HCO3_true,Cl_CO3_true,Cl_H3O_true,Cl_OH_true
0.0,1952.7335208551642,4718.140725863235,36482.46518321527,0.5640626983329952,1301.6553004260256,44800.337345018794,2588.8629328800216,1962.7379922368086,292.37975314617995,166.85077453479107,1.5833323976153802e-05,0.043654260774656485
0.01,1927.5059814710037,4702.3276547410915,36514.091910665345,0.6088076033893669,1334.0894368726224,44730.37410678615,2532.2490391407746,1949.93363453036,284.8782511532218,148.69630282085458,1.6865073943427612e-05,0.04456468055790502
0.02,1904.870757460548,4689.294342870943,36543.13754717967,0.6409790538993846,1363.7784980116737,44668.30795923792,2484.518548908519,1936.5988977987613,277.4913939894713,135.191407140331,1.7649487611962353e-05,0.045460489111732706
0.03,1884.1025610171218,4678.214576870797,36570.21947607457,0.6638286256615336,1391.5488435065467,44611.75463504836,2442.749981898708,1923.1505269183178,270.3245812562031,124.61427372379399,1.8253526200333265e-05,0.046344530126033
0.04,1864.7539110961272,4668.584051303221,36595.75893079411,0.6795419123577487,1417.8892768868755,44559.282841116255,2405.267239755576,1909.7594378147392,263.4129570864374,116.02382221349356,1.8720239837744693e-05,0.04721914765261307
0.05,1846.5387153286479,4660.100113215125,36620.04592885283,0.6894902058578292,1443.1168688872729,44510.011387062914,2371.055700982575,1896.503208510081,256.7571210759214,108.8736516561008,1.9075766753461555e-05,0.04808716013770808
0.06,1829.2085434047888,4652.495169708701,36643.30181316996,0.6950657097568658,1467.4906599141916,44463.125101072066,2339.319969473605,1883.3857050148981,250.3503545540218,102.7674894164609,1.9346324364703646e-05,0.04895041808678499
0.07,1812.613479261882,4645.613197943863,36665.70099506495,0.6970598141233657,1491.166855776537,44418.18924761624,2309.582668889762,1870.41250155661,244.1794987701071,97.47043872563775,1.9546258766265687e-05,0.04981065802752134
0.08,1796.621090086801,4639.318208872733,36687.38007380235,0.6962145673661241,1514.281136649283,44374.79637253646,2281.4528195112052,1857.5670125661013,238.2299365018215,92.80261038540588,1.9689117164233645e-05,0.05066936158762492
0.09,1781.1334723228947,4633.509352557701,36708.44975543613,0.6930879460710736,1536.9309024840516,44332.65869293826,2254.6482217708535,1844.8334086955226,232.48801252045655,88.63764634004792,1.9784942286931085e-05,0.05152765972057246
0.1,1766.0778262785684,4628.1143315306035,36728.99684431981,0.6880862028943078,1559.1892775036467,44291.570835727274,2228.9628982716654,1832.1990578492876,226.94054819551457,84.88546273752033,1.984092608755455e-05,0.05238659274853232
0.11,1751.3888851554516,4623.067521829075,36749.09499973012,0.6815848131176041,1581.1198629536061,44251.342719205,2204.220863899824,1819.6464038197148,221.575455958985,81.4728884937565,1.986383334441116e-05,0.05324699744452438
0.12,1737.0211696380522,4618.323959780836,36768.80100027414,0.6738459598960851,1602.7666090272714,44211.85181807838,2180.2979224387336,1807.165729815709,216.38226868488874,78.34791712345843,1.9858261971729705e-05,0.05410954948097681
0.13,1722.933633184629,4613.8432887103645,36788.16335935628,0.6651058687725249,1624.1687571968957,44172.984247434586,2157.0863559261406,1794.7453745320647,211.35122161412292,75.46740237996134,1.9828436924784914e-05,0.054974848467714846
0.14,1709.0939425109016,4609.593211524838,36807.22130851972,0.655556489362609,1645.3561130879355,44134.653051999056,2134.501365112647,1782.376639444143,206.47388982800084,72.79750613903192,1.977778478982829e-05,0.05584334022419921
0.15,1695.476787678915,4605.548655385542,36826.00619153114,0.645349873159662,1666.3516433160878,44096.792752853165,2112.4762908639022,1770.053595045993,201.7427605284361,70.31161980249144,1.9709005786168898e-05,0.05671539349600818
0.16,1682.0592015974012,4601.6863803782635,36844.54526499205,0.6346252697017397,1687.175426038407,44059.342656870285,2090.9521806240878,1757.7698260195798,197.1509899930394,67.98689646915463,1.9624637062831088e-05,0.05759129779619816
0.17,1668.8246571565085,4597.989097488921,36862.85909601648,0.6234907146791583,1707.8408489258004,44022.262558662,2069.884849999266,1745.5226174950449,192.69275168312961,65.80551455884797,1.9526623844606892e-05,0.05847123001913514
0.18,1655.7582415991155,4594.440987453748,36880.965444384135,0.6120434706607254,1728.3595532907657,43985.515650135734,2049.235161170442,1733.3091412030992,188.36263175561598,63.752026151791114,1.9416764293434136e-05,0.05935532490936299
0.19,1642.848305725839,4591.0288243877985,36898.87819621998,0.6003663641004092,1748.739437628962,43949.07475704202,2028.9715284456815,1721.1282553298208,184.15590938211992,61.81356970373638,1.9296606582228138e-05,0.060243622874815696
0.2,1630.0860158189553,4587.741877553163,36916.60788512874,0.5885283938102279,1768.9854350335006,43912.921085348615,2009.0687850073334,1708.9803877184145,180.06837576809286,59.979452294406364,1.9167453253144813e-05,0.06113609946682542
0.21,1617.4635331278776,4584.570073078044,36934.16334648338,0.5765926393778598,1789.1012139842594,43877.0379720736,1989.5045725612015,1696.8660433426462,176.09613408368034,58.24019074178242,1.9030536004003815e-05,0.0620326818459104
0.22,1604.9758824774071,4581.505564173278,36951.55018948334,0.5646110676768791,1809.0871907500737,43841.417597343716,1970.2624111842936,1684.787723063671,172.23583312511985,56.587970337537655,1.888687896021156e-05,0.06293320730678874
0.23,1592.6188467241086,4578.541091893069,36968.77276287675,0.55263043529119,1828.9429225110814,43806.05384595499,1951.3278534642009,1672.7480689002994,168.48431325256382,55.01582628505562,1.8737438297169965e-05,0.0638374786651529
0.24,1580.389789401964,4575.670438008435,36985.833444586315,0.5406915370408373,1848.6660179449211,43770.945206113145,1932.6897142635592,1660.7507450266255,164.8387627786852,53.517739907236475,1.8583072421590197e-05,0.06474522684794594
0.25,1568.2874866566458,4572.888435064243,37002.73287132429,0.5288292352269679,1868.2524707739647,43736.094330066466,1914.3396861291983,1648.8003700261186,161.29663451882257,52.08852194183583,1.842453832407421e-05,0.06565612512367723
0.26,1556.3112238421352,4570.190197068014,37019.470829528975,0.5170751504094135,1887.6976186919305,43701.5050110269,1896.270703677461,1636.901701969403,157.85551354643337,50.72346830812035,1.8262555473001508e-05,0.06656980793870612
0.27,1544.461790344697,4567.5718205764915,37036.04532728189,0.5054560534920152,1906.9949713071353,43667.185612230496,1878.4785099991814,1625.060669375624,154.51326700045024,49.418552942351326,1.809775589049875e-05,0.06748583616036313
0.28,1532.740375219876,4565.02967175815,37052.453723837265,0.4939957794676619,1926.1375894950895,43633.14541392442,1860.9597809827703,1613.2833300868442,151.26783740883184,48.1701138395428,1.7930734019067668e-05,0.06840373874311546
0.29,1521.149006832013,4562.5605911977445,37068.69230365287,0.48271514673185695,1945.1174718423638,43599.39610736625,1843.7127698834827,1601.5763397435107,148.11733024779255,46.97489733300775,1.7762037440999937e-05,0.06932298820095185
0.3,1509.6904570558127,4560.161912922822,37084.75641900993,0.4716319114446094,1963.925757639386,43565.9515372558,1826.7371190337037,1589.946889152847,145.05997083886362,45.830016812116206,1.7592163169235437e-05,0.07024300992376944
0.31,1498.3677589990305,4557.831101633104,37100.64098487478,0.4607618335787261,1982.553279928448,43532.826096993755,1810.0330397021964,1578.4022416956902,142.09403196691986,44.73281013245369,1.7421584240350334e-05,0.07116319626322368
0.32,1487.184694074304,4555.566086996281,37116.34002548618,0.450118086536826,2000.9899880099138,43500.03640353443,1793.6020606333307,1566.9502436318146,139.2179059201893,43.68092272200128,1.7250728225804148e-05,0.0720828880523003
0.33,1476.1452318323152,4553.364928997695,37131.847254541295,0.43971203410786225,2019.2256703359799,43467.59943463977,1777.4461172903004,1555.5987723199332,136.4300075152832,42.67217656821263,1.707999820931753e-05,0.073001398656719
0.34,1465.253705937877,4551.2259070658065,37147.1559236161,0.42955323239049104,2037.2497172847845,43435.53314337783,1761.5678063600844,1544.355925194432,133.72880765144487,41.704586209730884,1.690976870203886e-05,0.0739180045140853
0.35000000000000003,1454.5147390494553,4549.147536143824,37162.2589376493,0.4196493908183894,2055.0512801166888,43403.85624317633,1745.9702620677328,1533.2299528453837,131.11280986377497,40.77634207271548,1.6740382608051197e-05,0.07483195352567512
0.36,1443.933040559889,4547.128387962593,37177.14903721853,0.4100069598286799,2072.6194767147153,43372.58750058559,1730.6568176881572,1522.2290580744993,128.58053275089532,39.88575048310182,1.6572165432511402e-05,0.07574246872373615
0.37,1433.5134970631943,4545.16724368289,37191.81880527547,0.4006307213301418,2089.9433723927823,43341.746134184206,1715.6311568152703,1511.3614929443584,126.13050809834003,39.031261712124554,1.6405411477394532e-05,0.07664875373440701
0.38,1423.2610234629728,4543.26294480492,37206.26075649151,0.391524346395358,2107.0121149154925,43311.35124477806,1700.8970625683478,1500.6354099244402,123.76127537198305,38.21142175931308,1.6240397265146764e-05,0.07754999369576357
0.39,1413.180518146158,4541.414417779752,37220.4674581215,0.3826903057527735,2123.815040804422,43281.421735872595,1686.4583565247995,1490.0588168363581,121.47136964206872,37.42487038033401,1.6077377313929712e-05,0.07844536308163276
0.4,1403.2768021641791,4539.620690406957,37234.431626148085,0.3741298450054144,2140.341804434555,43251.976135608136,1672.3188128106146,1479.639515158325,119.25930971119126,36.67033491172683,1.5916581621683403e-05,0.07933403422621509
0.41000000000000003,1393.5546441523825,4537.880806194137,37248.14602039261,0.3658434840431306,2156.5822492574357,43223.032597357254,1658.4821746082448,1469.3851288303579,117.1236268885343,35.94660974038496,1.575822706122528e-05,0.08021516680946876
0.42,1384.0185262150785,4536.1938799402,37261.603870561565,0.35783052805136323,2172.5268915341553,43194.608292589764,1644.9518398627197,1459.3028576411984,115.06280194327772,35.25255397040799,1.560250357356639e-05,0.0810879399313557
0.43,1374.6728350811045,4534.559049850466,37274.798520595505,0.35008967893091103,2188.1665208097274,43166.719890217166,1631.7311185991562,1449.3996808755421,113.07533003607902,34.58708580484841,1.5449587808547958e-05,0.08195152742583094
0.44,1365.5216432564607,4532.975464529545,37287.72378034148,0.3426188307195711,2203.4925875816148,43139.38294511176,1618.8229301439067,1439.6821267086445,111.15967476464839,33.94916942414391,1.5299637243465702e-05,0.08280512196313573
0.45,1356.5686702714527,4531.442303468583,37300.373991645836,0.33541505409403327,2218.49729215512,43112.611787800386,1606.2297569296654,1430.1562314236594,109.3142640506551,33.33781433254058,1.5152788104534754e-05,0.08364794305784054
0.46,1347.817483520851,4529.958739404972,37312.74368670855,0.3284751047803819,2233.173174232113,43086.420070690896,1593.9539184096652,1420.8277551609042,107.53755026028922,32.75207439269431,1.5009167129990948e-05,0.08447921225002884
0.47000000000000003,1339.271042068999,4528.523945089821,37324.82831457779,0.32179483632104816,2247.5139559369823,43060.819480129685,1581.9969493050382,1411.701696607027,105.8279090003601,32.19103017974783,1.4868876056602713e-05,0.08529820703137592
0.48,1330.9321313942573,4527.1370988938625,37336.623553636324,0.31536987707639935,2261.513742239782,43035.82096905508,1570.3602025582559,1402.782758794938,104.18374567582217,31.653804302698955,1.473200711133996e-05,0.08610421410495596
0.49,1322.8030415578323,4525.797353393439,37348.12580328598,0.3091953529289449,2275.167577924339,43011.43383192109,1559.044407468453,1394.0750074922234,102.60343162979458,31.139543190212326,1.4598635839029896e-05,0.08689656464627268
0.5,1314.8855573681103,4524.503860711361,37359.332209948065,0.3032658753937203,2288.471485721491,42987.66568610756,1548.049666032933,1385.5818621072908,101.0853049686811,30.647419392713008,1.4468819465140048e-05,0.08767464035464279
0.51,1307.1812627621528,4523.255756849895,37370.24018290645,0.29757603737336674,2301.4218852763724,42964.52334283903,1537.3758701822949,1377.3064255125341,99.6277433412492,30.17663891630502,1.4342609095539687e-05,0.08843783851018396
0.52,1299.6909948505859,4522.052150787446,37380.848242245804,0.2921198058151571,2314.0165819275862,42942.011240689,1527.021960993745,1369.2509000911987,98.2290516676993,29.726418909188297,1.422003367891951e-05,0.08918563650406726
0.53,1292.415391940073,4520.892151366632,37391.15517650628,0.28689118048641865,2326.253779543637,42920.133036247964,1516.9866828060788,1361.4171800882011,96.88757935137767,29.2960099674363,1.410111605891455e-05,0.08991753274356602
0.54,1285.3545515097826,4519.77483237885,37401.160559678865,0.2818839064655856,2338.132669890097,42898.89061451559,1507.2681167951741,1353.8064872089687,95.60165475617322,28.88467786544459,1.398586566736267e-05,0.09063308500856333
