Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.0,43153.339429933665,1031.5378603901013,2.3173177631447494e-05,2.610508113396667e-05,5.992366692446275e-05,1.826344344603761e-05,0.004411184981665745,0.06693611243333111,2.4420626056790546e-09,1.3381257665740778e-09,2.9873814361390017e-10,165.58849292941787,171.85906819844865,75.29579099125498
0.01,43143.92554687744,1030.0316476263142,2.3178233953548423e-05,2.6076296897970038e-05,6.0020926413082814e-05,1.8280605779604794e-05,0.004110079806494654,0.06651093783329345,2.550933166115555e-09,1.3971264060957371e-09,3.1993686150470477e-10,165.76778756923667,172.36258108773805,75.30481547726761
0.02,43137.30264751116,1028.7627990985739,2.3181792523545644e-05,2.6052221668461016e-05,6.0099523894373326e-05,1.8294803682541048e-05,0.003879780987589532,0.06615513632826513,2.641162385192964e-09,1.446012984566539e-09,3.3821103379119183e-10,165.91650720173638,172.76938120043766,75.31350809624718
0.03,43132.53661396249,1027.6600550244957,2.3184354051560432e-05,2.6031492766768188e-05,6.0165300077854544e-05,1.830691266162647e-05,0.003694910442720478,0.06584797782457286,2.7182442995408296e-09,1.4877689037361903e-09,3.543913005847202e-10,166.0436770661311,173.10981926580743,75.32172052348932
0.04,43129.09689319346,1026.6805094138513,2.3186203098025402e-05,2.601326658196214e-05,6.022171536177194e-05,1.831746462174717e-05,0.003541402391092407,0.06557698638125695,2.7855173604333503e-09,1.5242062763368158e-09,3.6899000909108405e-10,166.1548013155725,173.4018588543325,75.32943199583427
0.05,43126.6847573966,1025.7983114147219,2.318749993479365e-05,2.5997032920894044e-05,6.027082331135507e-05,1.8326776623791773e-05,0.0034110228400797524,0.06533459832404151,2.8449690245365316e-09,1.5564037561644358e-09,3.823110778767912e-10,166.25318710010555,173.6561659861019,75.3366396177116
0.06,43125.00552628345,1024.990171634375,2.3188402825607264e-05,2.5982341575917737e-05,6.031443335428968e-05,1.833514546240063e-05,0.003297620616839949,0.06511410848214208,2.89846640144676e-09,1.5853740555091647e-09,3.9465873790310137e-10,166.34184428756856,173.88209004863995,75.3434215222828
0.07,43123.9276722707,1024.2431052837971,2.3188982404379047e-05,2.5968922630604965e-05,6.0353548127036086e-05,1.8342732385415994e-05,0.0031975586857746876,0.06491173496716053,2.9470227108078365e-09,1.6116667213649478e-09,4.0619310747074734e-10,166.42246462505216,174.0848304584117,75.34980681824274
0.08,43123.31937276188,1023.545439302585,2.31893095092219e-05,2.5956542535337433e-05,6.0389052900400485e-05,1.8349685754709687e-05,0.0031079848323876513,0.06472411893250367,2.9915725442663705e-09,1.6357884893010228e-09,4.1706915016064455e-10,166.49656579997676,174.2689598900287,75.35584841880701
0.09,43123.09258031672,1022.8886999641142,2.3189431466157047e-05,2.594502569838405e-05,6.042158571882623e-05,1.8356113326850483e-05,0.003026878366730834,0.06454882256852051,3.0327954022436123e-09,1.6581077182905826e-09,4.2739995798246215e-10,166.56525920578298,174.43777464770469,75.36158817438057
0.1,43123.18900212898,1022.266831639052,2.318937961546931e-05,2.593424530053796e-05,6.045159857087888e-05,1.8362091335688942e-05,0.0029527927424445916,0.06438409412523449,3.0711718000258213e-09,1.678884882305054e-09,4.3726503917481937e-10,166.6293377034562,174.59361183302033,75.3670554413556
0.11,43123.55140671465,1021.6742809641482,2.3189184735009853e-05,2.592408638316019e-05,6.047950179330136e-05,1.8367691035076253e-05,0.0028845293176234174,0.06422834597786381,3.1071520530211426e-09,1.6983640309706506e-09,4.4674162743774495e-10,166.68953046678254,174.73858711027003,75.37228583044441
0.12,43124.14612969303,1021.1073231641241,2.3188864934103644e-05,2.59144692763319e-05,6.050557052262526e-05,1.8372959515791402e-05,0.002821239933985841,0.06408049902645163,3.141033355181628e-09,1.716706229248194e-09,4.5587925711652954e-10,166.74632849740735,174.87412231472723,75.37730033827764
0.13,43124.94028125128,1020.562561006485,2.31884379080463e-05,2.5905322697453838e-05,6.053005327662689e-05,1.8377940251221067e-05,0.0027622095075369828,0.06393957755896551,3.1730905838228912e-09,1.7340604275784639e-09,4.647251182883613e-10,166.80017870173228,175.00149883111635,75.38212201291502
0.14,43125.90846255546,1020.0373057493674,2.318791732511005e-05,2.5896589372525553e-05,6.055314695752232e-05,1.838266776914367e-05,0.0027068747842421384,0.06380480647942866,3.2035421143411174e-09,1.7505449512619167e-09,4.733164947392855e-10,166.85143696912516,175.12173188844307,75.3867695273806
0.15,43127.031634595594,1019.5294768680891,2.318731343424575e-05,2.5888224753469305e-05,6.0575003961174516e-05,1.8387168684304276e-05,0.002654792531662332,0.06367558039698676,3.232556140557428e-09,1.7662509342450113e-09,4.816816637746884e-10,166.90037896719218,175.23560772184499,75.3912569376624
0.16,43128.29084696771,1019.0371352509627,2.3186636436586464e-05,2.5880187639621698e-05,6.059576581698065e-05,1.8391468183404725e-05,0.002605576678265479,0.06355133961819019,3.2602921487863817e-09,1.7812647827400144e-09,4.898481094677129e-10,166.94726237910857,175.34385496128317,75.3955993068814
0.17,43129.67285066191,1018.5588681462981,2.3185893467417133e-05,2.587244731614988e-05,6.061553706987236e-05,1.8395584607961052e-05,0.00255892810809833,0.06343166787873904,3.286866060620963e-09,1.7956493021229906e-09,4.978349394915472e-10,166.9922769105021,175.44701259440652,75.39980672778445
0.18,43131.164673437,1018.0933730342543,2.3185091512631134e-05,2.5864975768742873e-05,6.06344138589822e-05,1.8399535064815677e-05,0.0025145846173399438,0.06331618287973288,3.312386142807835e-09,1.8094631461984142e-09,5.056603229223703e-10,167.0355976545743,175.54557543799805,75.40388951215498
0.19,43132.755326333616,1017.639579624485,2.318423649113543e-05,2.5857749616046404e-05,6.065247637087793e-05,1.8403333807415306e-05,0.002472327723054006,0.06320456657032608,3.3369425776267235e-09,1.8227551701643097e-09,5.133390313381525e-10,167.07737044902203,175.63995606304033,75.40785625041536
0.2,43134.435778500854,1017.1966335271593,2.318333326846069e-05,2.585074995513109e-05,6.066978980127717e-05,1.84069923417795e-05,0.002431976275058331,0.06309655962217944,3.360608067521195e-09,1.8355647601359928e-09,5.208824781313894e-10,167.11771325985185,175.7304899723579,75.41171363867204
0.21,43136.1969526893,1016.7637336601953,2.3182386734203177e-05,2.5843959107948077e-05,6.0686415550023375e-05,1.8410521652793134e-05,0.0023933679816732388,0.06299191921243465,3.383452130087047e-09,1.8479295742506555e-09,5.283017246062704e-10,167.1567374835165,175.8174925436567,75.41546861981007
0.22,43138.03163613403,1016.3402828620243,2.318140077495707e-05,2.5837363403006082e-05,6.070240150840519e-05,1.8413930162951187e-05,0.0023563704642075383,0.0628904563919123,3.4055279253882088e-09,1.859878410706946e-09,5.356044454911651e-10,167.19452896179013,175.90120988620663,75.4191260787431
0.23,43139.932701493926,1015.9257305241957,2.318037923052602e-05,2.5830950262634685e-05,6.07177922435267e-05,1.841722578550481e-05,0.0023208648969914305,0.06279199573331737,3.4268854456032477e-09,1.8714383503560258e-09,5.427978524397585e-10,167.23116756815128,175.98187066172915,75.42269089402042
0.24,43141.89367199671,1015.5196236565812,2.3179325590176805e-05,2.5824709009754697e-05,6.073262606423614e-05,1.8420415289078293e-05,0.0022867489122845404,0.06269638765589705,3.44756740975013e-09,1.8826325339757903e-09,5.498876531973692e-10,167.26672135499825,176.05967123866432,75.42616717105071
0.25,43143.90879304518,1015.1216042427467,2.3178242954222093e-05,2.5818630885721268e-05,6.074693507056342e-05,1.842350427954054e-05,0.0022539348410069546,0.06260350728313727,3.4676091199412007e-09,1.8934800850321527e-09,5.568779969339131e-10,167.30124654463305,176.13477605716042,75.42955813458723
0.26,43145.972250439125,1014.7313385463187,2.3177134454069984e-05,2.5812707667555987e-05,6.076074976976015e-05,1.8426498139753276e-05,0.002222342708931799,0.06251323654951808,3.487044514471938e-09,1.903999387271403e-09,5.637728295240015e-10,167.3347965152556,176.2073410947133,75.43286709320758
0.27,43148.078938203085,1014.348586991502,2.3176002839714032e-05,2.5806932932932987e-05,6.077409481016355e-05,1.8429401121300623e-05,0.0021919050425780557,0.062425481128557184,3.5059002926922768e-09,1.9142049038587866e-09,5.705744571903203e-10,167.36741329986737,176.27749225999676,75.43609639023082
0.28,43150.22377081529,1013.973132367962,2.3174850849240587e-05,2.580130076750191e-05,6.0786993334964356e-05,1.8432217240986866e-05,0.0021625602609243663,0.06234015256169198,3.5242016913005473e-09,1.924110305169502e-09,5.772849207999628e-10,167.39913617418824,176.34534755568058,75.43924834783836
0.29,43152.40190168262,1013.6048040128597,2.3173681091457565e-05,2.5795806138679742e-05,6.079946568038527e-05,1.8434949995934176e-05,0.002134254015589833,0.06225717395390899,3.5419706396582556e-09,1.9337274700188463e-09,5.83905496194098e-10,167.42999900206502,176.4110104773397,75.44232491897495
