Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.0,41.57797277796757,1.201145390618538,1.5851514504197067e-05,1.0475946160527282e-05,1.8539428576051584e-05,2.151290318191254e-05,1.782508473311079e-05,1.709402081449419e-05,2.6033002969609218e-05,38.536002353385804,33.672649343993996,29.164648512415376,29.70776953064372,0.02528738443555927
0.01,41.045128857219126,1.1777207339422935,1.6044119500206992e-05,1.0627641554609003e-05,1.872163971088879e-05,2.173179936110419e-05,1.7902487094536545e-05,1.7544909937674644e-05,2.663883537393572e-05,38.81590958052197,33.696687224246666,29.176480905481487,29.77297657496636,0.025520640724877048
0.02,40.67492596644853,1.1604183006669366,1.6180409305022365e-05,1.0735510094090918e-05,1.8850343640528184e-05,2.1886448785651362e-05,1.794386189936044e-05,1.7876331502286924e-05,2.707550119643917e-05,39.00907705029605,33.71434656917795,29.18507850541199,29.81818339882426,0.025680211741783438
0.03,40.400237197747785,1.1468353850806974,1.6282878182169983e-05,1.0816899436208843e-05,1.894698529116435e-05,2.200259023162498e-05,1.796552464094033e-05,1.8133704026018125e-05,2.740895407720999e-05,39.151724408322316,33.72796947105558,29.191662389860742,29.851679399472236,0.02579641737232267
0.04,40.18715538371051,1.135724079724887,1.636316698819829e-05,1.0880845331293887e-05,1.902263494536129e-05,2.2093514525128172e-05,1.7975370907818873e-05,1.834124903542686e-05,2.767390026950509e-05,39.26198257412271,33.73884721567989,29.1968917717636,29.877637049213394,0.025884690812885504
0.05,40.01692242006596,1.126381749460066,1.6427820497926905e-05,1.0932449806584811e-05,1.9083506418615217e-05,2.2166683352910524e-05,1.7977671080313787e-05,1.8512836299910513e-05,2.7890073366089045e-05,39.34982181697822,33.747734857773835,29.201147299701322,29.898359488559667,0.025953651365844856
0.06,39.87463057026228,1.1182524753992826,1.6482213521559092e-05,1.0975941726844254e-05,1.9134685885710807e-05,2.2228206711251907e-05,1.7975870379290732e-05,1.866022940518134e-05,2.8074075714426268e-05,39.42307631249617,33.755299632944485,29.20475790584366,29.915670692185678,0.026010469854130042
0.07,39.75361223134736,1.1110656956342673,1.652872850987041e-05,1.1013190425328798e-05,1.9178429916115235e-05,2.2280795114700416e-05,1.7971208782609414e-05,1.878874466371695e-05,2.823322077710095e-05,39.485259553676805,33.761831670529524,29.207867433227825,29.930386922102205,0.026058096763161127
0.08,39.64799770070229,1.1045893287112565,1.656951514248159e-05,1.1045894422230577e-05,1.9216769614391808e-05,2.2326888968829697e-05,1.7964865683886025e-05,1.8903256276125106e-05,2.837423017225475e-05,39.53943863014926,33.767606631229086,29.210610484179632,29.943225053351686,0.026099286750875465
0.09,39.554233610205905,1.098674356786075,1.660587652143711e-05,1.107508363908944e-05,1.9250936048545058e-05,2.2367967445004158e-05,1.7957431813755208e-05,1.9006789410883505e-05,2.850118567296893e-05,39.587469189018066,33.7727920690924,29.213068807983124,29.95461895828452,0.026135622586264035
0.1,39.469974712830656,1.0932191672255116,1.6638673854565482e-05,1.110143894513966e-05,1.9281742716669844e-05,2.2405008004841042e-05,1.794925446764838e-05,1.9101368641106782e-05,2.8616789120008214e-05,39.63057525649544,33.7774990179316,29.215296534634454,29.964854927494002,0.026168122127747197
0.11,39.39321532711153,1.088136827533692,1.6668653131373706e-05,1.1125552255345943e-05,1.9309893397521775e-05,2.2438856402214817e-05,1.7940625690254935e-05,1.918877408692803e-05,2.8723404596735814e-05,39.66979908872579,33.78182609979429,29.21734140066401,29.97417752384649,0.026197670457664708
