Position,x_CO2,x_MEA,x_H2O,x_CO2_true,x_MEA_true,x_H2O_true,x_MEAH_true,x_MEACOO_true,x_HCO3_true,x_CO3_true,x_H3O_true,x_OH_true
0.0,0.045251040745658604,0.10933431313059537,0.8454146461237461,1.103550824365715e-05,0.025466012627148357,0.8764885420551418,0.05064936632386549,0.038399651949119824,0.005720213702587913,0.003264323457801607,3.097683604672407e-10,8.54066322898524e-07
0.01,0.0446761845853989,0.10899165050782969,0.8463321649067714,1.1941882390506997e-05,0.02616843000129459,0.8773951965987373,0.049670569225058456,0.03824833658978266,0.005587943632677218,0.0029167075941628636,3.30811784245752e-10,8.741450846379334e-07
0.02,0.04415831868361966,0.10870624853827052,0.8471354327781099,1.2601184118585595e-05,0.026810897869231794,0.8781465937705891,0.04884383583266326,0.038072132196136886,0.005455279896764286,0.002657765183218281,3.4697614788508264e-10,8.937203016743533e-07
0.03,0.0436817008440727,0.10846138307934354,0.8478569160765838,1.3076539889124733e-05,0.027411659058307433,0.878792155773193,0.04811892157501478,0.03788350427488333,0.005325034253057392,0.0024547352405594296,3.5957015749053246e-10,9.129255253671572e-07
0.04,0.04323656291051201,0.10824673799371873,0.8485166990957692,1.3410503887734005e-05,0.027981511242028363,0.8793606765212129,0.047467043729305866,0.03768838374750356,0.005198355569902617,0.0022896864646145356,3.694368876414831e-10,9.318521075083956e-07
0.05,0.042816616341276974,0.1080560710713076,0.8491273125874155,1.3629775415293984e-05,0.02852739408601773,0.8798695815890054,0.046870798782903386,0.03748989120768864,0.005075549829149929,0.002152203770421047,3.770879042447537e-10,9.505823106229641e-07
0.06,0.04241642455651255,0.10788393213939738,0.84969964330409,1.3761719900771998e-05,0.029055088080524715,0.8803327008722346,0.04631657946331347,0.037289462238900214,0.0049567276993660895,0.002034710365369043,3.830410467373836e-10,9.691773501122056e-07
0.07,0.04203266207654407,0.10772704270467133,0.8502402952187845,1.3821845174243734e-05,0.02956801839943602,0.8807584690173431,0.04579620488760701,0.037087996588926864,0.004841781377067806,0.0019327198123243758,3.875784501259669e-10,9.876845420352325e-07
0.08,0.04166240252881847,0.10758258585731877,0.8507550116138628,1.3824786947849025e-05,0.03006919859853196,0.8811537914602248,0.04530298652128799,0.03688585300251832,0.004730550423839832,0.0018427886702172208,3.9096833468528184e-10,1.006145463721769e-06
0.09,0.041303472588510096,0.10744844757893451,0.8512480798325555,1.3781566324295479e-05,0.030560789995720393,0.8815237367386418,0.044832094083343786,0.03668321476854287,0.004622860608552188,0.001762497254193409,3.934096616387236e-10,1.0245912715699957e-06
0.1,0.04095424914403658,0.10732310013765714,0.8517226507183063,1.3700213231544766e-05,0.031044403274307967,0.8818720129209452,0.044380001899579524,0.03648019342574485,0.00451852382460833,0.00169012099773349,3.9504486061111985e-10,1.0430488042197117e-06
0.11,0.04061328040071272,0.10720516680611862,0.8521815527931687,1.3588183353822906e-05,0.03152145732812549,0.8822018139915087,0.04394369809091502,0.03627676042417991,0.00441736356845454,0.0016242564768351323,3.960085442030937e-10,1.0615406188516343e-06
0.12,0.04027954929041552,0.10709369052529251,0.852626760184292,1.3450679547552862e-05,0.031992920237836425,0.8825154210326811,0.04352105736070771,0.036072943324939,0.00431921941967531,0.0015639074642643583,3.9639195609970347e-10,1.0800839566409378e-06
0.13,0.039952139572786385,0.10698781861771643,0.8530600418094971,1.3292407681144088e-05,0.032459664359121794,0.8828148159228989,0.04311023641893355,0.03586870650556096,0.004223938974989852,0.001508246320127538,3.9627926869825243e-10,1.0986944069379588e-06
0.14,0.03963032903978918,0.10688686629122647,0.8534828046689844,1.3117197806835542e-05,0.032922352151597084,0.8831015840938599,0.04270978486135637,0.035664030980157864,0.0041313889783227776,0.0014566239574539876,3.9573876466609516e-10,1.1173837065169583e-06
0.15,0.039313551696399135,0.10679030020909364,0.8538961480945073,1.2928088152960604e-05,0.033381490931650645,0.8833769830627647,0.042318563689515296,0.03545891905143055,0.0040414483690275355,0.0014085302512474051,3.948242260640589e-10,1.1361613866232845e-06
