Position,Cl_CO2,Cl_MEA,Cl_H2O,Cl_CO2_true,Cl_MEA_true,Cl_H2O_true,Cl_MEAH_true,Cl_MEACOO_true,Cl_HCO3_true,Cl_CO3_true,Cl_H3O_true,Cl_OH_true
0.0,1953.3132337219013,4717.858398516029,36481.56100069717,0.5673683815964763,1300.4734290097856,44801.376269980705,2589.5409876227254,1963.2188825806184,292.9235454851414,166.67749025267793,1.5890031032818752e-05,0.04359494164102065
0.01,1927.7817577653498,4701.928896526976,36513.60214482801,0.6123248969461746,1333.3342303046313,44730.67390728845,2532.350432684776,1950.2237842194388,285.26807663915133,148.40703423421937,1.6927088354286323e-05,0.04452028483522792
0.02,1904.8468120765365,4688.802541305565,36543.05733670276,0.6444679355803853,1363.461005747967,44667.87140126753,2484.093844298713,1936.674042235702,277.72583589064664,134.82427577114842,1.7713140203480683e-05,0.04543234320730507
0.03,1883.784050727662,4677.6442138981665,36570.54413806048,0.6671262041709599,1391.6736172583203,44610.58527586965,2441.8327024887467,1922.9969224654342,270.4082185932765,124.19062315157274,1.8316329438619205e-05,0.04633344321979353
0.04,1864.145912700377,4667.944942967243,36596.48382487426,0.6825361468789015,1418.4581125999366,44557.38305871771,2403.8816540688563,1909.3682474244615,263.3525804318924,115.55680965126517,1.8780440493277497e-05,0.04722569041243513
0.05,1845.6458898187445,4659.399828052343,36621.16682810015,0.692099843680058,1444.1307371120186,44507.382623302256,2369.2206088776775,1895.8681646341204,256.5600157061904,108.37216792660793,1.913202262997115e-05,0.04811181617258801
0.06,1828.0352035045228,4651.739294807186,36644.81431095005,0.6972380307104142,1468.9495451369269,44459.76749392782,2337.050582753836,1882.5020392823235,250.02406573652075,102.2377517758906,1.9397689651247145e-05,0.04899358090019881
0.07,1811.1635922522196,4644.806335515539,36667.60100101244,0.6987590662498658,1493.0704242016334,44414.1026011131,2306.8918273551935,1869.2764559089735,243.7313550553039,96.9170816463144,1.959200659879035e-05,0.04987269029393569
0.08,1794.8983592314012,4638.464155649861,36689.66352954259,0.6974192579548062,1516.6286814909856,44369.980152497854,2278.3517330989293,1856.1755243486314,237.66702269324213,92.229227595231,1.9728711620537716e-05,0.05075059530534942
0.09,1779.1414187590362,4632.611324345163,36711.11265216949,0.69378723972453,1539.7213537851123,44327.11241176981,2251.1469670491474,1843.1839869487287,231.81713367151556,88.04711892198831,1.9817990863043105e-05,0.05162840291757358
0.1,1763.8198875577182,4627.175182915289,36732.03518132718,0.6882769862328476,1562.421203258008,44285.29443075987,2225.0708160427303,1830.2897484930254,226.16821711868977,84.28018158128917,1.9867138952302594e-05,0.05250713557582472
0.11,1748.8684621432537,4622.089780655223,36752.50466961294,0.6812704155999569,1584.7914085035363,44244.33658145943,2199.9467937978097,1817.47571700674,220.70792311451225,80.854892975272,1.9883012029279404e-05,0.05338760902545707
0.12,1734.2417350452936,4617.309953837955,36772.57774053347,0.6730344871610858,1606.8754161073307,44204.1171920317,2175.65045641624,1804.7326975725819,215.42554446466548,77.71898188571514,1.9870275834345827e-05,0.054270477837659925
0.13,1719.898771789135,4612.7951821318175,36792.30266991898,0.6638092840310574,1628.7119258022374,44164.52328383351,2152.0739815151587,1792.0495292566425,210.31109767884297,74.82910904713101,1.983321391610893e-05,0.05515631862498792
0.14,1705.8074199676382,4608.513043815036,36811.71837824421,0.6537898524102999,1650.3301164332945,44125.469003144215,2129.132610986775,1779.418048735305,205.35596624811134,72.15128511405217,1.9775302850960096e-05,0.05604555055751341
0.15,1691.9426170197905,4604.438389912641,36830.85582527772,0.6431306677436414,1671.7522572855441,44086.890163974254,2106.7598570377595,1766.8329041837162,200.55246678067337,69.6587836298685,1.9699284412913714e-05,0.05693851291743248
0.16,1678.281669655451,4600.547912563444,36849.741833190135,0.631972927832916,1692.9976925649546,44048.72740910587,2084.8970062999115,1754.2882582016514,195.89359871693262,67.32866676307096,1.9607733156858137e-05,0.0578354629185593
0.17,1664.808397266461,4596.824287208988,36868.396454991314,0.6204262336903776,1714.0789803110015,44010.94208694452,2063.500227403583,1741.782037424239,191.37340009248442,65.14303642455717,1.9502627030456766e-05,0.05873654037264111
0.18,1651.5082552767997,4593.251669528993,36886.83689863294,0.6085890462269422,1735.0069074116243,43973.498985684506,2042.530781725033,1729.3120614944414,186.98632867142885,63.08638455220836,1.938579331223948e-05,0.05964184053946222
0.19,1638.3700049378867,4589.816819239258,36905.076443042235,0.5965451335002695,1755.7884566164032,43936.37264333976,2021.957547024264,1716.8778711392467,182.72754700835958,61.14579838771098,1.9258806857199808e-05,0.060551360043017304
0.2,1625.3852608209888,4586.509005421326,36923.12496634574,0.5843641990568217,1776.4275961282754,43899.546083250374,2001.755874775441,1704.4806090630843,178.59273791632833,59.31054094604257,1.9122994298635784e-05,0.06146502693800914
0.21,1612.546645892333,4583.3181560961975,36940.99062449257,0.5721097937760693,1796.9270127756292,43863.00448505118,1981.9039468576173,1692.121500243482,174.5778982760569,57.57109229976687,1.8979609229015376e-05,0.062382718153207686
0.22,1599.8496821165013,4580.236434619318,36958.67830318276,0.5598342076931068,1817.2860916138347,43826.741972326185,1962.38586725052,1679.803799168075,170.67957675897296,55.91960296835527,1.8829696178571777e-05,0.06330421645811748
0.23,1587.2906579435626,4577.256594929914,36976.19161274133,0.5475843315895796,1837.5033527960336,43790.754385647866,1943.1877831102947,1667.5309033924457,166.89451314758503,54.349077988389716,1.8674229686194253e-05,0.06422926771471991
