Position,Nl_H2O,Nv_H2O,kv_H2O,a_eA,DF_H2O,fv_H2O,fl_H2O,P_sat_H2O
0.0,-5.837586092277778,5.837586092277778,3.484295315073719e-05,72.97901510296398,-2295.7275371204014,8955.631130398731,11251.358667519133,12836.909013771034
0.01,-4.901537705481087,4.901537705481087,3.526404275801212e-05,73.06194401665608,-1902.431484617875,10534.37744290924,12436.808927527114,14174.610732573414
0.02,-4.231383288361403,4.231383288361403,3.5606087605744596e-05,73.13121494700924,-1625.0073210567443,11842.889254226153,13467.896575282897,15336.507454886998
0.03,-3.7328233622116236,3.7328233622116236,3.589437543591075e-05,73.19085180404717,-1420.869647466292,12963.072863345524,14383.942510811816,16367.493294389047
0.04,-3.350263823515809,3.350263823515809,3.614368450490048e-05,73.24330186738621,-1265.5481424601821,13944.57041608925,15210.118558549431,17296.289443196787
0.05,-3.047448998579084,3.047448998579084,3.6362745840313516e-05,73.29003923974176,-1143.4964520451595,14817.58015441842,15961.076606463579,18139.63238028526
0.06,-2.8052825291758197,2.8052825291758197,3.655910843678282e-05,73.33238744988455,-1046.3697755921348,15607.26382965294,16653.633605245075,18916.648091349627
0.07,-2.6067228707116765,2.6067228707116765,3.673697870045835e-05,73.37110034916422,-967.0888889355192,16328.979671323035,17296.068560258554,19636.774838704965
0.08,-2.4420898126745345,2.4420898126745345,3.6900024593900805e-05,73.40684758390883,-901.5678210522856,16995.55431557457,17897.122136626855,20309.94746601656
0.09,-2.303885601483043,2.303885601483043,3.7050885876721845e-05,73.44012100208398,-846.6987732011803,17616.525070617998,18463.223843819178,20943.472417697223
0.1,-2.186031150574156,2.186031150574156,3.7191436410743755e-05,73.4712730145403,-800.010762262169,18198.8206814946,18998.831443756768,21542.418915648726
0.11,-2.084917820959992,2.084917820959992,3.732336139337054e-05,73.5006256340474,-760.0062359217736,18748.52084683407,19508.527082755845,22111.98618547818
0.12,-1.9969270644194341,1.9969270644194341,3.74477981628009e-05,73.5283974637585,-725.2384398385948,19269.91102865714,19995.149468495736,22655.401256952326
0.13,-1.91975163952156,1.91975163952156,3.756576644832032e-05,73.55478647772134,-694.7712742127369,19766.741899821904,20461.51317403464,23175.858273111182
0.14,-1.8514924038445157,1.8514924038445157,3.76780734397391e-05,73.57995051603267,-667.8420413866661,20242.012663729256,20909.854705115922,23675.895982048572
0.15,-1.7904598152072335,1.7904598152072335,3.778534413435609e-05,73.60401218296815,-643.7833014833304,20698.072378570516,21341.855680053846,24157.42519118582
0.16,-1.735600272867137,1.735600272867137,3.788815468488097e-05,73.62708555487194,-622.1693981114477,21137.042122110528,21759.211520221976,24622.36933690044
0.17,-1.685776907827686,1.685776907827686,3.798693100277759e-05,73.64925502623453,-602.5561650418058,21560.526426131466,22163.08259117327,25072.047971078737
0.18,-1.6402233442998877,1.6402233442998877,3.80820620460976e-05,73.67059824813533,-584.6397443662354,21969.96413293669,22554.603877302925,25507.75022317489
0.19,-1.5982806244737926,1.5982806244737926,3.8173870547465375e-05,73.69117993416282,-568.1608802143128,22366.550744641623,22934.711624855936,25930.540405113945
0.2,-1.5593220033145914,1.5593220033145914,3.826261739539446e-05,73.71105257179865,-552.8769947083638,22751.257845161563,23304.134839869927,26341.24879487264
0.21,-1.5229472619809663,1.5229472619809663,3.834854621713495e-05,73.73026559355631,-538.6295323190243,23124.975166062726,23663.60469838175,26740.70702395063
0.22,-1.488698522258735,1.488698522258735,3.843184506887253e-05,73.74885729401535,-525.2429439099506,23488.39760594133,24013.64054985128,27129.508118912392
0.23,-1.456256561630271,1.456256561630271,3.851268725855025e-05,73.76686329620706,-512.593099455793,23842.154596461936,24354.74769591773,27508.228560952306
0.24,-1.4253393619304746,1.4253393619304746,3.859121967575037e-05,73.7843140545677,-500.57105097528984,24186.776637218463,24687.347688193753,27877.350275267498
0.25,-1.3956671777628074,1.3956671777628074,3.866756323924076e-05,73.8012349094511,-489.07045971281696,24522.699613243167,25011.770072955984,28237.25146863772
0.26,-1.367059892234661,1.367059892234661,3.874183146516995e-05,73.81764995708474,-478.0212237446649,24850.324162043842,25328.345385788507,28588.31096685482
0.27,-1.3393046117532,1.3393046117532,3.881411342828232e-05,73.83357843609816,-467.34303654528776,25169.964389197736,25637.307425743023,28930.798798105927
0.28,-1.312251649160016,1.312251649160016,3.8884491428225454e-05,73.84903842993639,-456.9785962018832,25481.904711275296,25938.88330747718,29264.977111924276
0.29,-1.2857685597710893,1.2857685597710893,3.895303577737495e-05,73.86404574512719,-446.87740938976276,25786.384388954255,26233.261798344018,29591.06479368648
0.3,-1.2597213903661835,1.2597213903661835,3.9019804665080485e-05,73.87861386974339,-436.9891704973852,26083.59880419182,26520.587974689206,29909.23149987354
0.31,-1.234027997684201,1.234027997684201,3.9084852850913725e-05,73.89275578770126,-427.28206931487875,26373.727023134372,26801.00909244925,30219.649052080236
0.32,-1.2085879132118822,1.2085879132118822,3.914822371621349e-05,73.90648228927923,-417.71844578141827,26656.908497867993,27074.62694364941,30522.43812753971
0.33,-1.1833349938293498,1.1833349938293498,3.920995739774127e-05,73.91980367015941,-408.2728802068523,26933.26873306376,27341.541613270612,30817.717248068115
0.34,-1.158213251454841,1.158213251454841,3.9270088660023064e-05,73.93272926711401,-398.9237648286726,27202.913599039082,27601.837363867755,31105.58699812429
0.35000000000000003,-1.1331651108522465,1.1331651108522465,3.932864668395846e-05,73.94526739957699,-389.6492174305931,27465.929813391165,27855.57903082176,31386.12598323023
0.36,-1.108164839702234,1.108164839702234,3.938565921314852e-05,73.95742622389423,-380.4384983582968,27722.39712097291,28102.835619331207,31659.41726955124
0.37,-1.0831744774945413,1.0831744774945413,3.9441149240233145e-05,73.96921302199465,-371.27684010161465,27972.380686587974,28343.65752668959,31925.522842424398
0.38,-1.058178123075134,1.058178123075134,3.949513833867705e-05,73.98063488296417,-362.1571678876644,28215.939739175737,28578.096907063402,32184.506451308738
0.39,-1.0331662885752517,1.0331662885752517,3.9547646304614196e-05,73.99169861090301,-353.07469141960246,28453.12828636257,28806.202977782174,32436.428311754305
0.4,-1.0081268769532066,1.0081268769532066,3.959869085993788e-05,74.00241064418984,-344.0238072558677,28683.995000225714,29028.01880748158,32681.341497261288
0.41000000000000003,-0.9830707051408094,0.9830707051408094,3.9648289429908524e-05,74.0127774120376,-335.0067808693457,28908.586700285065,29243.59348115441,32919.305619180916
0.42,-0.9579970674091831,0.9579970674091831,3.96964583708547e-05,74.02280515083925,-326.0219787054557,29126.950256473327,29452.972235178782,33150.37564994441
0.43,-0.9329213350166691,0.9329213350166691,3.9743213618032994e-05,74.03250002694551,-317.07326783097596,29339.13084444436,29656.204112275336,33374.610624397246
0.44,-0.907862251543593,0.907862251543593,3.9788571355912824e-05,74.04186825635134,-308.16566171204613,29545.176734337703,29853.34239604975,33592.07402601056
0.45,-0.8828336798257381,0.8828336798257381,3.983254757603229e-05,74.05091599359639,-299.3025207039391,29745.13846658752,30044.44098729146,33802.829723444534
0.46,-0.8578677488754478,0.8578677488754478,3.98751586051072e-05,74.0596494355604,-290.493397256414,29939.067384712358,30229.560781968772,34006.94921688233
0.47000000000000003,-0.8329832847214523,0.8329832847214523,3.991642159634723e-05,74.06807489316215,-281.74332043356117,30127.022575827512,30408.765896261073,34204.50721483614
0.48,-0.8082114617014472,0.8082114617014472,3.9956353773055665e-05,74.07619863664227,-273.06149763318535,30309.063391365093,30582.124888998278,34395.58320368687
0.49,-0.7835840988079059,0.7835840988079059,3.999497355942948e-05,74.08402710832333,-264.4573357255322,30485.25610626797,30749.713441993503,34580.26431736879
0.5,-0.7591256664947917,0.7591256664947917,4.003229999679744e-05,74.09156678736622,-255.93775380330044,30655.67243221128,30911.61018601458,34758.64066994202
0.51,-0.7348756362001024,0.7348756362001024,4.006835271451408e-05,74.09882419083542,-247.51472706091226,30820.385828021146,31067.90055508206,34930.80980150417
0.52,-0.7108584069723266,0.7108584069723266,4.0103152804441564e-05,74.10580601974269,-239.1951401549486,30979.47982163901,31218.67496179396,35096.87442269436
0.53,-0.6871077931993816,0.6871077931993816,4.0136721578201145e-05,74.11251892135304,-230.9890561506545,31133.038677191544,31364.0277333422,35256.94144950906
0.54,-0.6636561941096116,0.6636561941096116,4.016908171257622e-05,74.1189697053239,-222.9060596137242,31281.153973134387,31504.06003274811,35411.12514366433
0.55,-0.640527128832868,0.640527128832868,4.020025659370494e-05,74.12516520136849,-214.95276162147638,31423.922719577567,31638.875481199044,35559.54222902319
0.56,-0.6177561963197089,0.6177561963197089,4.0230270174155955e-05,74.1311122476653,-207.13984399374385,31561.44347811216,31768.583322105904,35702.31556058033
0.5700000000000001,-0.5953636623798544,0.5953636623798544,4.0259147673279e-05,74.13681780211391,-199.47285668201584,31693.823443824753,31893.29630050677,35839.57156803035
0.58,-0.5733767290654899,0.5733767290654899,4.0286914471426094e-05,74.14228874437164,-191.95970234597553,31821.17016357951,32013.129865925486,35971.43956620535
0.59,-0.5518201056082377,0.5518201056082377,4.0313596983079695e-05,74.14753203951875,-184.6074697297663,31943.596692774354,32128.20416250412,36098.05387927125
0.6,-0.5307095310583351,0.5307095310583351,4.033922202241649e-05,74.15255460703142,-177.42027646876886,32061.219673647127,32238.639950115896,36219.54929838664
0.61,-0.5100700938017266,0.5100700938017266,4.036381679090537e-05,74.15736334047216,-170.4054005822145,32174.156517060335,32344.56191764255,36336.064890139955
0.62,-0.4899130699018216,0.4899130699018216,4.0387409143809345e-05,74.1619651363974,-163.56553650844944,32282.529887687357,32446.095424195806,36447.7402236513
0.63,-0.4702546646044455,0.4702546646044455,4.041002694665197e-05,74.16636679305218,-156.9050665675386,32386.462086748765,32543.367153316303,36554.71625044744
0.64,-0.45110845687338413,0.45110845687338413,4.04316985597945e-05,74.17057509979409,-150.4275338828047,32486.078214398563,32636.505748281368,36657.13595026368
0.65,-0.4324801959227741,0.4324801959227741,4.0452452299367595e-05,74.17459672982011,-144.13391287990453,32581.504501843705,32725.63841472361,36755.14055220723
0.66,-0.41438257701629955,0.41438257701629955,4.047231664045786e-05,74.17843830208122,-138.02753655282868,32672.867038501136,32810.894575053964,36848.87368668708
0.67,-0.3968171963081873,0.3968171963081873,4.049132001989795e-05,74.18210632485349,-132.10808243042993,32760.293431989237,32892.40151441967,36938.476449979986
0.68,-0.3797890692561312,0.3797890692561312,4.050949072738386e-05,74.18560719790732,-126.37641230555164,32843.910243529586,32970.28665583514,37024.09003300066
0.6900000000000001,-0.3633010774338336,0.3633010774338336,4.052685701868252e-05,74.18894723165155,-120.8327204356392,32923.8442225571,33044.67694299274,37105.85500305813
0.7000000000000001,-0.3473500593022017,0.3473500593022017,4.054344670659092e-05,74.19213256795223,-115.47523542553972,33000.22104300119,33115.69627842673,37183.90845644771
0.71,-0.3319378438368337,0.3319378438368337,4.055928756004567e-05,74.19516927637912,-110.3038880056265,33073.16548708162,33183.46937508725,37258.38835385354
0.72,-0.31705822742907913,0.31705822742907913,4.057440674568477e-05,74.19806323351916,-105.31598150058562,33142.80077205803,33248.116753558614,37329.42791254732
0.73,-0.30270735941636556,0.30270735941636556,4.058883116534241e-05,74.20082020691667,-100.50964256958105,33209.24859850659,33309.75824107617,37397.15954667766
0.74,-0.28887999448077667,0.28887999448077667,4.060258728763085e-05,74.20344582145803,-95.88257418902504,33272.628888155756,33368.51146234478,37461.713180703366
0.75,-0.2755667062809872,0.2755667062809872,4.0615700867858694e-05,74.20594550626636,-91.43113066131627,33333.05894008943,33424.49007075075,37523.21428392409
0.76,-0.2627615731176926,0.2627615731176926,4.062819747488291e-05,74.20832461043639,-87.15286570465832,33390.65468621633,33477.80755192099,37581.788123087696
0.77,-0.2504534041221327,0.2504534041221327,4.064010171710578e-05,74.21058824597982,-83.04362115643016,33445.528456486725,33528.572077643155,37637.55403179489
0.78,-0.23863263970309057,0.23863263970309057,4.065143787389211e-05,74.21274142253878,-79.09981341314415,33497.790843930234,33576.89065734338,37690.630038324365
0.79,-0.22728901190511347,0.22728901190511347,4.06622295521521e-05,74.21478898135803,-75.31765604773682,33547.54947667842,33622.867132726155,37741.13064352714
0.8,-0.21640951150473686,0.21640951150473686,4.067249950456579e-05,74.21673556119525,-71.69248502381379,33594.9085071116,33666.60099213541,37789.165502604614
0.81,-0.20598378267515902,0.20598378267515902,4.068227023478728e-05,74.21858572455069,-68.22054342644697,33639.9705495827,33708.19109300915,37834.84356775057
0.8200000000000001,-0.19599700268814232,0.19599700268814232,4.069156303015001e-05,74.22034376582234,-64.89662270740519,33682.833367342144,33747.72999004955,37878.266792434486
0.8300000000000001,-0.18643579057342846,0.18643579057342846,4.070039885320425e-05,74.22201389246764,-61.71601691903925,33723.593024541726,33785.309041460765,37919.535800031925
0.84,-0.1772836532896204,0.1772836532896204,4.0708797690327316e-05,74.22360009716454,-58.673014429245086,33762.34163151773,33821.014645946976,37958.74570902205
0.85,-0.16850212304955903,0.16850212304955903,4.071677722181967e-05,74.2251058838246,-55.754657918572775,33799.164207347836,33854.91886526641,37995.97566471058
0.86,-0.1600871935663607,0.1600871935663607,4.072435715096347e-05,74.22653516335339,-52.95941329631751,33834.14964417413,33887.10905747045,38031.321903870645
0.87,-0.1518387164781664,0.1518387164781664,4.073154239768783e-05,74.22788877475573,-50.22090789163485,33867.349863432326,33917.57077132396,38064.767044601605
0.88,-0.1436018291442279,0.1436018291442279,4.0738340752462686e-05,74.22916814231608,-47.487799074995564,33898.822761907046,33946.31056098204,38096.317177905454
0.89,-0.1348069804498469,0.1348069804498469,4.074473024656314e-05,74.23036850760299,-44.57171219711745,33928.55469492089,33973.126407118005,38125.745566618214
0.9,-0.12194975783498527,0.12194975783498527,4.075048325843759e-05,74.23144239137899,-40.314407321107865,33956.04787200371,33996.36227932482,38151.20212739536
0.91,-0.10626695637426212,0.10626695637426212,4.075570385457978e-05,74.23241120160456,-35.1249954539162,33981.58300972172,34016.708005175635,38173.45601898547
0.92,-0.06121061807272493,0.06121061807272493,4.0758555702001205e-05,74.23289328698509,-20.230731711468252,34000.887093491816,34021.117825203284,38177.941031661525
0.93,0.03431885974194257,-0.03431885974194257,4.075757660534522e-05,74.23258511121065,11.343051696800103,34010.567041970186,33999.223990273385,38153.08156813515
0.9400000000000001,0.2611895841607877,-0.2611895841607877,4.074710389547107e-05,74.230310346336,86.3530797291096,33997.37424107979,33911.02116135068,38054.21248070163
0.9500000000000001,1.0957303569911307,-1.0957303569911307,4.0693218971656005e-05,74.21902533202311,362.79926765395066,33881.60768234582,33518.80841469187,37615.93612882875
0.96,3.336349757643706,-3.336349757643706,4.053374247875984e-05,74.18585998292352,1109.516417841267,33515.28275644956,32405.766338608293,36372.74394025439
0.97,8.917323263414772,-8.917323263414772,4.0082939177528486e-05,74.09259382427221,3002.618472623548,32443.880117970304,29441.261645346756,33061.10682510026
0.98,19.000562339735147,-19.000562339735147,3.898197155305098e-05,73.86665341968354,6598.636892680261,29706.829929709413,23108.193037029152,25980.71295563347
0.99,26.672286661950874,-26.672286661950874,3.706190159256304e-05,73.48191109027924,9793.8197948503,24535.90430682163,14742.08451197133,16611.875365398733
1.0,24.331227748229562,-24.331227748229562,3.489845023635474e-05,73.06817248396845,9541.785234284,18060.73688637513,8518.95165209113,9626.497016736885
