Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.0,323.8714274963353,-83999.99999,-53660.64205477829,-48053.099634037746,-50293.30880278598,88.99603807376157,-4475905.225068188,-57137.02789300334,280514.1061144971,-3171.80561750277,-50562.32552539602,-53734.13114289879,53734.13114289879,226.60325028207265,82.44579992366961
0.01,325.89703017598714,-83999.99999,-53311.99280890443,-47900.57108523113,-50103.367637827105,89.27805185719043,-4473131.054189805,-52730.49859169,234786.4552883375,-3205.460870254361,-36074.37807695454,-39279.838947208904,39279.838947208904,180.26149295763216,82.51924350725834
0.02,327.5277229458041,-83999.99999,-53030.56856279056,-47777.76467177369,-49948.24028079737,89.51427822746818,-4471080.677467729,-49456.92572754444,202166.03498740707,-3078.3022674732856,-26957.880774769892,-30036.183042243178,30036.183042243178,148.32537880506817,82.58281222341806
0.03,328.88853267578367,-83999.99999,-52795.208749126665,-47675.27129436436,-49817.004798481175,89.71796314977027,-4469480.200742063,-46936.30128726563,177963.36648738047,-2907.492921084455,-20930.809342862198,-23838.30226394665,23838.30226394665,125.3253986328722,82.63938143488446
0.04,330.0531678121753,-83999.99999,-52593.40768421421,-47587.54397844688,-49703.199965465785,89.8973010446156,-4468183.530176206,-44944.81077362736,159430.82704095816,-2733.8405399982603,-16841.3552731734,-19575.19581317166,19575.19581317166,108.20593638140033,82.69069672533621
0.05,331.0653125306214,-83999.99999,-52417.75091780304,-47511.29550564612,-49602.97849038327,90.05723569730596,-4467107.125196843,-43352.554404637114,144788.2499098762,-2569.219872730965,-14043.654038033344,-16612.87391076431,16612.87391076431,95.05812666448107,82.73782791988171
0.06,331.9629454973682,-83999.99999,-52261.750584191155,-47443.66725188848,-49512.990883745006,90.20214658969837,-4466178.061789966,-42047.7784389844,133092.89086175372,-2423.3814842139464,-11997.488562411148,-14420.870046625096,14420.870046625096,84.74461232213454,82.78176523359201
0.07,332.7672337937974,-83999.99999,-52121.79915536549,-47383.066284403074,-49431.36033251989,90.33465242864024,-4465364.754713059,-40969.52153692073,123514.52256800083,-2293.527715927015,-10497.810650367752,-12791.338366294767,12791.338366294767,76.45469019573014,82.823048581641
0.08,333.49667846935876,-83999.99999,-51994.7289608816,-47328.09999431888,-49356.44383663427,90.4570241745329,-4464637.033299402,-40065.2911304488,115579.47084936783,-2179.628030610383,-9347.473947630586,-11527.10197824097,11527.10197824097,69.6751459402987,82.86217802200447
0.09,334.16460136638835,-83999.99999,-51878.257279165824,-47277.76560940039,-49287.05551178477,90.57096997522046,-4463976.424924883,-39297.68972598932,108922.56345778775,-2079.881501993797,-8442.136984360019,-10522.018486353816,10522.018486353816,64.04672658132007,82.89951322625545
0.1,334.78044413263876,-83999.99999,-51770.76663945868,-47231.352467950346,-49222.35207659734,90.67772206826605,-4463370.761148032,-38640.71988288064,103249.207778687,-1991.6633368470596,-7717.24399636315,-9708.907333210209,9708.907333210209,59.292756935754134,82.93531226685559
0.11,335.3527170774552,-83999.99999,-51670.794133004936,-47188.21987883074,-49161.57304189547,90.77839999721252,-4462808.942089367,-38070.94238893062,98383.56056475277,-1914.0161404995063,-7118.052162268104,-9032.068302767611,9032.068302767611,55.241033939774056,82.96981408336725
0.12,335.88714982758694,-83999.99999,-51577.356621630235,-47147.936559783215,-49104.20542591619,90.87377807718953,-4462284.666531433,-37572.74625435343,94150.99054776161,-1844.7872233614019,-6618.292799083321,-8463.080022444723,8463.080022444723,51.73772468963564,83.00317710942191
0.13,336.38888754905736,-83999.99999,-51489.568958785036,-47110.11515933066,-49049.78814632308,90.96454994958458,-4461791.903852748,-37132.09858227311,90439.72081517453,-1782.882988636261,-6192.734106499539,-7975.6170951358,7975.6170951358,48.680690953351316,83.03554773983409
0.14,336.8620047384332,-83999.99999,-51406.730004223915,-47074.448931916726,-48997.956285174776,91.05127281094163,-4461326.28490004,-36737.810808916154,87157.9846126104,-1727.230786604704,-5825.805605023315,-7553.036391628019,7553.036391628019,45.99004547511628,83.06704089644042
0.15,337.3096568276731,-83999.99999,-51328.29705547943,-47040.70033852141,-48948.42722203549,91.13437930227008,-4460884.532702545,-36381.189512116354,84224.4836353279,-1676.6738091063635,-5506.147026853275,-7182.820835959638,7182.820835959638,43.596198495716074,83.09774532622862
0.16,337.7347594377243,-83999.99999,-51253.76749538976,-47008.649857660996,-48900.94003301735,91.21427012689435,-4460463.553630707,-36054.0864455466,81588.22552007213,-1630.6704629041537,-5223.860989154864,-6854.531452059018,6854.531452059018,41.45527940130254,83.12774393209097
0.17,338.1394727197965,-83999.99999,-51182.769592556426,-46978.13487484052,-48855.30214199603,91.29124310216403,-4460061.264674635,-35750.344915655936,79194.65494482064,-1588.3574316214329,-4972.952200198952,-6561.309631820384,6561.309631820384,39.52224707808123,83.15709591519425
0.18,338.5257748172361,-83999.99999,-51114.96234268686,-46949.00645885542,-48811.33735856257,91.3655699849898,-4459675.659494695,-35464.245662870606,77006.85638550087,-1549.243951628659,-4747.590742362507,-6296.834693991166,6296.834693991166,37.766377405478174,83.18585604708107
0.19,338.8953148117213,-83999.99999,-51050.0614927114,-46921.140456464105,-48768.89962129139,91.43747728709943,-4459305.151438664,-35190.885389423034,74993.14966977999,-1512.8741508592043,-4543.727758076595,-6056.6019089358,6056.6019089358,36.162094144028934,83.21406839440064
0.2,339.24943422026377,-83999.99999,-50987.835998509705,-46894.43587924202,-48727.870868564896,91.50714759069373,-4458948.471350034,-34926.16047056399,73123.52569952731,-1478.7481940432854,-4358.0502979376415,-5836.798491980927,5836.798491980927,34.68523912409477,83.24176735959844
0.21,339.5893912855816,-83999.99999,-50928.068783331204,-46868.79799535018,-48688.1407355128,91.57475176895818,-4458604.401946686,-34666.15439129146,71378.70757935755,-1446.6208020371728,-4187.613665041128,-5634.2344670783,5634.2344670783,33.32059138749077,83.26898497427561
0.22,339.9161698241434,-83999.99999,-50870.590452818644,-46844.15274880459,-48649.62418811364,91.64042133680239,-4458272.058475827,-34407.66381880668,69736.82097360786,-1416.1062454280122,-4030.3828366351004,-5446.489082063113,5446.489082063113,32.05104661110554,83.29574371781062
0.23,340.2306822967906,-83999.99999,-50815.24370499987,-46820.43144881471,-48612.242729877646,91.70427724457679,-4457950.584781362,-34147.68053572366,68182.5605156967,-1386.9750081546163,-3884.3508207122723,-5271.3258288668885,5271.3258288668885,30.864749892795544,83.3220640759034
0.24,340.5337127612454,-83999.99999,-50761.89343515385,-46797.5750746014,-48575.92990077443,91.7664218968248,-4457639.277305053,-33883.53923808289,66702.42579672585,-1359.0144249922598,-3748.0358665414988,-5107.050291533758,5107.050291533758,29.751494446043925,83.34796183523383
0.25,340.82591871274263,-83999.99999,-50710.426486919496,-46775.53413930029,-48540.63099172801,91.82693891055614,-4457337.556757255,-33612.93944011253,65283.07772054508,-1331.9844533129271,-3620.1484971748187,-4952.132950487746,4952.132950487746,28.701107387427022,83.37344836743551
0.26,341.1079228867272,-83999.99999,-50660.73554054952,-46754.261767428085,-48506.29458376347,91.88590680291742,-4457044.863478548,-33333.709945519615,63915.87605329137,-1305.7667953460104,-3499.5307057773643,-4805.297501123375,4805.297501123375,27.70724625004917,83.39853391148006
0.27,341.3802298749885,-83999.99999,-50612.7338440726,-46733.71998609041,-48472.880392166764,91.94338649850319,-4456760.776592705,-33044.039232102186,62590.68670175357,-1280.1725807249554,-3385.3287352178613,-4665.501315942816,4665.501315942816,26.762343224883484,83.42322416943519
0.28,341.64331220690684,-83999.99999,-50566.340085779055,-46713.873233139624,-48440.35111412927,91.99943404520477,-4456484.887450897,-32742.26851633365,61300.3571888394,-1255.0890644217943,-3276.6924892486063,-4531.7815536704,4531.7815536704,25.861142323882266,83.44752386433505
0.29,341.89758535537374,-83999.99999,-50521.48282681015,-46694.690243572215,-48408.67489489977,92.05409699079796,-4456216.85397111,-32426.961544326492,60038.564623434984,-1230.4134193764864,-3172.978650528404,-4403.39206990489,4403.39206990489,24.999060448660256,83.4714354532653
0.3,342.1434065994024,-83999.99999,-50478.100730694,-46676.144136433664,-48377.825341064265,92.10741406289821,-4455956.390151977,-32096.92507646824,58798.937188480595,-1206.0267312358353,-3073.609785638795,-4279.636516874631,4279.636516874631,24.17135117366718,83.49495925881264
0.31,342.3811174736928,-83999.99999,-50436.13509481007,-46658.20921305268,-48347.77756097389,92.15942164617077,-4455703.217897067,-31751.104432918146,57577.53649071394,-1181.8765682077153,-2978.06747354222,-4159.944041749935,4159.944041749935,23.375177291582027,83.51809508173946
0.32,342.6110047202997,-83999.99999,-50395.53675962109,-46640.8639037338,-48318.51182463636,92.21014793729452,-4455457.123459633,-31388.696767067915,56369.584375813036,-1157.8717778861296,-2885.9614969152376,-4043.833274801367,4043.833274801367,22.606937977394598,83.5408406250923
0.33,342.8333398052397,-83999.99999,-50356.25914911741,-46624.08778692845,-48290.00980317361,92.2596188307182,-4455217.897772443,-31009.05558460878,55171.914633644046,-1133.9641514938228,-2796.9008643545267,-3930.8650158483497,3930.8650158483497,21.86421452702119,83.56319317114664
0.34,343.0483682118755,-83999.99999,-50318.26017292178,-46607.862397468,-48262.255588542284,92.30785648100363,-4454985.362316676,-30611.724650330463,53981.84385073124,-1110.1124428395317,-2710.5934390106727,-3820.7058818502046,3820.7058818502046,21.144910394921723,83.58514908721659
0.35000000000000003,343.25630784582154,-83999.99999,-50281.50252034824,-46592.171347391886,-48235.235759775824,92.35487904792589,-4454759.364442286,-30196.449792783755,52796.62300971419,-1086.2651837161766,-2626.773208323945,-3713.0383920401214,3713.0383920401214,20.446744151730236,83.60670391849332
0.36,343.45736977714097,-83999.99999,-50245.95000375915,-46576.99876112666,-48208.93750015439,92.40070377942709,-4454539.75347268,-29763.124742410786,51614.992365935075,-1062.4130666641952,-2545.2058322727553,-3607.6188989369502,3607.6188989369502,19.76854311688473,83.62785308726039
0.37,343.651740192142,-83999.99999,-50211.57075683538,-46562.33063768709,-48183.35012461667,92.44534464584216,-4454326.408461469,-29311.84445982319,50435.12815940478,-1038.521436633118,-2465.7193090623414,-3504.2407456954593,3504.2407456954593,19.108576319214844,83.64859144972293
