Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.0,43152.732632935105,1031.529835630023,2.3173503483688497e-05,2.6104661649507355e-05,5.992542200187378e-05,1.826374050850769e-05,0.004408845888534958,0.06693437999580598,2.1995523980463465e-09,1.3391470749340662e-09,2.989498177145123e-10,165.59111826237512,171.8678987407768,75.29593240959743
0.01,43143.31279912034,1030.0106028089215,2.3178563145025557e-05,2.6075649013455432e-05,6.002335235187523e-05,1.8281031325604647e-05,0.004105618773318339,0.06650547381971772,2.2982733065049864e-09,1.3985914039206292e-09,3.2032830539425684e-10,165.77180276810762,172.37489851267227,75.3050604901019
0.02,43136.70669008486,1028.730260629816,2.318211279281211e-05,2.6051384972668956e-05,6.010247503437665e-05,1.829533469366298e-05,0.0038737757022689508,0.06614641669850792,2.380087186825988e-09,1.4478434474599923e-09,3.387669416585768e-10,165.92167147499333,172.78443314477104,75.31385329744892
0.03,43131.97240268631,1027.6170500252742,2.3184657327141357e-05,2.6030491726364057e-05,6.0168684190579426e-05,1.8307533923033796e-05,0.0036876981835259077,0.06583633969257527,2.4499827446367535e-09,1.48991318502292e-09,3.551017087944399e-10,166.04983354500692,173.12713057656796,75.32216060048805
0.04,43128.57468054188,1026.6277772586168,2.318648384295355e-05,2.601211783976153e-05,6.022546933510923e-05,1.8318165347131664e-05,0.003533200030329874,0.06556268444657197,2.510989523357813e-09,1.5266277624748612e-09,3.698480106219345e-10,166.16183971319393,173.42110501428954,75.32996153788092
0.05,43126.21254597123,1025.7364433507248,2.3187753826840935e-05,2.5995749381739138e-05,6.02748985580073e-05,1.8327548195672907e-05,0.0034019834667421344,0.06531784258143147,2.56490834307353e-09,1.5590731345444552e-09,3.833110278834473e-10,166.26102028353117,173.67709780839613,75.33725306324082
0.06,43124.58880926176,1024.919619316377,2.3188626897359133e-05,2.598093287985147e-05,6.03187942135153e-05,1.8335981432891746e-05,0.0032878552314237267,0.06509506794541539,2.6134318449131328e-09,1.5882693873366758e-09,3.957966596259867e-10,166.35040683042536,173.90452468983923,75.34411423484778
0.07,43123.570928780195,1024.1642507065535,2.3189174237252486e-05,2.596739677087258e-05,6.0358165333458994e-05,1.834362732439221e-05,0.0031871532781812084,0.0648905565841988,2.6574776106699097e-09,1.614769492244717e-09,4.07465618612749e-10,166.43170179179776,174.10861812121726,75.35057440639845
0.08,43123.02604442385,1023.4586042192249,2.3189467245870793e-05,2.595490618180137e-05,6.03939025516316e-05,1.8350635151848717e-05,0.003097008202371624,0.06470093086114959,2.697891947369654e-09,1.6390833006170936e-09,4.184735193403451e-10,166.5064320458375,174.29397827624214,75.3566869844524
0.09,43122.865395273686,1022.7941635226819,2.3189553635496613e-05,2.594328455722538e-05,6.042664771331773e-05,1.8357113329738095e-05,0.0030153872908065768,0.06452373923591818,2.7352901071572803e-09,1.6615813999350946e-09,4.2893389628188745e-10,166.5757155897995,174.4639209398423,75.36249420079764
0.1,43123.030251800184,1022.1648473913968,2.3189464983348538e-05,2.5932404484070077e-05,6.045685519798377e-05,1.8363138494773203e-05,0.0029408356748636903,0.06435722092873061,2.7701068036214078e-09,1.682525618596137e-09,4.3892645143059725e-10,166.64034939691592,174.62079549180356,75.36802561685563
0.11,43123.46291241142,1021.565078967771,2.318923232188268e-05,2.5922150473224304e-05,6.048493752291956e-05,1.8368782291900862e-05,0.0028721484720433212,0.06419978018499632,2.8027495244934622e-09,1.7021613325453456e-09,4.485286602730091e-10,166.7010664583671,174.7667287115376,75.37331712763483
0.12,43124.12942941672,1020.9911216241788,2.3188873914237433e-05,2.5912442536504117e-05,6.0511171157961824e-05,1.8374092035582718e-05,0.002808472919730924,0.06405033283544312,2.8334869878025206e-09,1.7206503551145853e-09,4.5779009977519103e-10,166.7583600287507,174.90314925287737,75.37838985003343
0.13,43124.99662383993,1020.4395687829913,2.3188407612470167e-05,2.5903209141147193e-05,6.053580575113337e-05,1.8379111396316892e-05,0.002749090472347972,0.06390789891337724,2.862567683647495e-09,1.7381422989638188e-09,4.667579999971083e-10,166.81267891273964,175.03134424025816,75.38326696722713
0.14,43126.03884202688,1019.9077264449588,2.3187847222951696e-05,2.589439283174421e-05,6.05590390758836e-05,1.838387505077447e-05,0.002693435174310539,0.06377170015141645,2.8901889771236047e-09,1.754755987130319e-09,4.754696287181118e-10,166.86438040930372,175.15233330959407,75.38796724904716
0.15,43127.236832210154,1019.3935134024098,2.3187203109964526e-05,2.5885948966365863e-05,6.05810241042662e-05,1.83884097043187e-05,0.0026410617385497475,0.06364112914046216,2.916502735085357e-09,1.770582849849256e-09,4.839531706167274e-10,166.9137410196238,175.266905595228,75.39250479206441
0.16,43128.57141540903,1018.8949906149979,2.318648559833166e-05,2.5877836267486096e-05,6.060190289721013e-05,1.8392740631369716e-05,0.002591582475737685,0.06351562439606945,2.941652976271078e-09,1.785709582739082e-09,4.922360241425591e-10,166.9610191820305,175.3757923749623,75.39689471446431
0.17,43130.029139466766,1018.4107491453655,2.318570193324853e-05,2.5870024003774393e-05,6.06217803316095e-05,1.8396886218440786e-05,0.002544696992008827,0.06339476871153929,2.96574426350552e-09,1.800199131596749e-09,5.003371393725279e-10,167.00640494347937,175.47953426696094,75.40114711370697
0.18,43131.59682343873,1017.9394912029285,2.318485921338707e-05,2.586248416522481e-05,6.0640752823102626e-05,1.840086360937361e-05,0.0025001420860488463,0.06327817905343348,2.9888742267575457e-09,1.8141102644654464e-09,5.082745202993059e-10,167.05007363103738,175.57862742260303,75.4052723072039
0.19,43133.26326721938,1017.4801527400714,2.3183963471643584e-05,2.5855193396503983e-05,6.0658900771659086e-05,1.8404687081932035e-05,0.0024576984648648163,0.06316553692971065,3.011124147402746e-09,1.8274919071180102e-09,5.160627469271841e-10,167.0921711773553,175.67348541760313,75.40927887856104
0.2,43135.019232588056,1017.0318872734167,2.3183019685418627e-05,2.5848132848684517e-05,6.067628950608762e-05,1.8408368149562177e-05,0.0024171843299380376,0.06305658288589248,3.03255947704319e-09,1.8403834573396274e-09,5.237130073102682e-10,167.1328154702646,175.76444434602286,75.41317349826062
