Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.0,41.57797277796757,1.201145390618538,1.5851514504197067e-05,1.0475946160527282e-05,1.8539428576051584e-05,2.151290318191254e-05,1.782508473311079e-05,1.709402081449419e-05,2.6033002969609218e-05,38.536002353385804,33.672649343993996,29.164648512415376,29.70776953064372,0.02528738443555927
0.01,41.04237819696992,1.1775673724949733,1.6045124592249027e-05,1.062843544772863e-05,1.8722589554737496e-05,2.173294058461369e-05,1.7902547145564857e-05,1.7547485748682264e-05,2.6642117577882255e-05,38.81734876035731,33.69681550736141,29.17654363524227,29.773312750673075,0.025521716919914318
0.02,40.67013038116515,1.1601439987025095,1.6182188348657256e-05,1.0736921041127132e-05,1.8852022414355123e-05,2.1888466163558887e-05,1.7943914790149573e-05,1.7880981579573128e-05,2.708141563107726e-05,39.01157238616316,33.714580575573905,29.18519194281069,29.818768515783017,0.02568214591763466
0.03,40.39387957061293,1.1464614702787348,1.628526352937918e-05,1.0818797038668444e-05,1.894923373485322e-05,2.2005292532809144e-05,1.7965505513863505e-05,1.8140053429044598e-05,2.7417006985965414e-05,39.155019128384126,33.72829008127465,29.191816863313683,29.85245420610581,0.025799028117608692
0.04,40.179565092792686,1.1352650577737688,1.636604004383146e-05,1.0883136407666172e-05,1.9025340809839373e-05,2.2096766907813154e-05,1.7975231545391052e-05,1.834902486302961e-05,2.7683732787264122e-05,39.26590378196553,33.739239745388204,29.19708003853374,29.878561299253214,0.025887842970564748
0.05,40.008332561021284,1.125848079509148,1.6431094981582735e-05,1.0935066045848254e-05,1.9086588262581967e-05,2.2170387952102727e-05,1.79773788522204e-05,1.8521833463291948e-05,2.7901419283426246e-05,39.354248347789145,33.74818800476283,29.201363876003953,29.899404782409704,0.025957245577995874
0.06,39.86520178924192,1.1176516456919245,1.648582918238911e-05,1.0978835258909357e-05,1.913808690981829e-05,2.223229526290738e-05,1.797540513474973e-05,1.867030126294986e-05,2.8086747657908622e-05,39.42792506369474,33.755805303184644,29.204998892459503,29.9168174855245,0.026014437094983134
0.07,39.74346681404875,1.1104035536662642,1.6532638704068818e-05,1.101632401918015e-05,1.918210621986339e-05,2.2285214847020794e-05,1.7970556633697616e-05,1.8799774785394856e-05,2.824707203150707e-05,39.49046764237849,33.762383401115684,29.208129743188948,29.931620360652744,0.02606238359419016
0.08,39.63722641584094,1.103870442126397,1.6573684960818813e-05,1.104924015263122e-05,1.9220688367401264e-05,2.2331600413473063e-05,1.79640187569726e-05,1.8915155216197924e-05,2.838915050113931e-05,39.544959522252206,33.76819951399456,29.210891782441067,29.94453412053626,0.02610385418281276
0.09,39.54290759629747,1.0979024574123153,1.661027837780235e-05,1.1078619390075328e-05,1.9255071327675128e-05,2.23729394345484e-05,1.7956385471602533e-05,1.9019484868336405e-05,2.8517087551687347e-05,39.59326652270124,33.77342216978329,29.213367229991473,29.955995026621935,0.026140440262026575
