Position,rho_true_mol_m3
0.0,51114.82158414493
0.01,50980.91432747953
0.02,50865.34032320363
0.03,50762.40083779072
0.04,50668.73024351185
0.05,50582.274548350746
0.06,50501.27772962262
0.07,50424.73839662907
0.08,50351.78053130684
0.09,50281.77440760694
0.1,50214.26540124256
0.11,50148.84799476493
0.12,50085.2476133135
0.13,50023.21791256939
0.14,49962.566885840024
0.15,49903.14652177176
0.16,49844.82245965088
0.17,49787.49895087707
0.18,49731.08969981181
0.19,49675.5269792681
0.2,49620.75929042852
0.21,49566.740446995274
0.22,49513.44006733979
0.23,49460.831848356145
0.24,49408.89775207292
0.25,49357.627223004616
0.26,49307.0121694758
0.27,49257.05211559149
0.28,49207.74851148329
0.29,49159.106790215716
0.3,49111.135951274904
0.31,49063.84607081511
0.32,49017.250628386624
0.33,48971.36384191684
0.34,48926.201389897346
0.35000000000000003,48881.78010775714
0.36,48838.11701016725
0.37,48795.22965836165
0.38,48753.13555339754
0.39,48711.85185018368
0.4,48671.395145443326
0.41000000000000003,48631.781589618084
0.42,48593.02583024863
0.43,48555.1419315026
0.44,48518.14237798211
0.45,48482.03798465926
0.46,48446.838756623445
0.47000000000000003,48412.55198466054
0.48,48379.18412813946
0.49,48346.7394664199
0.5,48315.22014291911
0.51,48284.627393751645
0.52,48254.959409381554
0.53,48226.213553252215
0.54,48198.38501942417
0.55,48171.466982106926
0.56,48145.4518289087
0.5700000000000001,48120.32929788832
0.58,48096.08848230219
0.59,48072.7167590758
0.6,48050.199988607215
0.61,48028.52349024715
0.62,48007.67074876432
0.63,47987.62486376575
0.64,47968.367871727736
0.65,47949.88094138031
0.66,47932.14497357181
0.67,47915.1399443951
0.68,47898.845696317134
0.6900000000000001,47883.241649173026
0.7000000000000001,47868.30695593093
0.71,47854.02073432653
0.72,47840.36195517497
0.73,47827.309649938434
0.74,47814.84292951906
0.75,47802.94108813197
0.76,47791.58354739812
0.77,47780.75012819518
0.78,47770.420835190474
0.79,47760.57607779528
0.8,47751.19672718093
0.81,47742.26387253742
0.8200000000000001,47733.75932469882
0.8300000000000001,47725.665136381176
0.84,47717.96395292122
0.85,47710.63916013763
0.86,47703.67415985668
0.87,47697.05460702587
0.88,47690.766079650944
0.89,47684.797779480876
0.9,47679.16071754652
0.91,47673.83174057194
0.92,47668.98927956636
0.93,47664.772216145
0.9400000000000001,47661.754732844915
0.9500000000000001,47663.42683039262
0.96,47676.1264639814
0.97,47718.462063340485
0.98,47824.56006559225
0.99,48001.20631195965
1.0,48180.134775937455
