Position,Cl_CO2,Cl_MEA,Cl_H2O,Cl_CO2_true,Cl_MEA_true,Cl_H2O_true,Cl_MEAH_true,Cl_MEACOO_true,Cl_HCO3_true,Cl_CO3_true,Cl_H3O_true,Cl_OH_true
0.0,1952.055134354358,4718.406230362803,36483.51631002352,0.5606324225365148,1302.9945162940587,44799.07537014569,2588.006561459655,1962.1937563447643,291.78076059182536,166.99417017125785,1.5774899610966617e-05,0.04371995544946677
0.01,1927.118490815791,4702.702037958971,36514.74550760143,0.6051719541662754,1335.01900725262,44729.81295529676,2531.9459700053353,1949.5689146987709,284.42982120408436,148.9513174515891,1.6801665801732497e-05,0.04461600096725939
0.02,1904.7668468747324,4689.755552594187,36543.40310594061,0.637361648707793,1364.2937493763645,44668.437937077506,2484.7151568895442,1936.4346277640814,277.1925858828499,135.52123219498472,1.7584489366683488e-05,0.045496437132859405
0.03,1884.2753630934799,4678.7490005451355,36570.10437846147,0.6603813112862666,1391.649013057719,44612.567941979665,2443.411198822141,1923.198366850432,270.1698110134252,124.99833732197727,1.818923681996125e-05,0.046364503565998846
0.04,1865.1973485199019,4669.182491685121,36595.26947727131,0.6763693925629981,1417.5750040504718,44560.77422738744,2406.36802301139,1910.0267988271023,263.3950856430667,116.4494672398092,1.865827977761226e-05,0.04722271988225301
0.05,1847.2475120913537,4660.7555072542655,36619.187436363434,0.6866687431496443,1442.3888878373784,44512.17733254209,2372.5768953474503,1896.9953119379222,256.86883720332474,109.33234563226702,1.901737780301077e-05,0.04807395904627026
0.06,1830.1781033960374,4653.202334716302,36642.0792534829,0.6926452134740986,1466.3500345228117,44465.96409058307,2341.2464143868974,1884.1065869248391,250.58433068732273,103.25329796765611,1.929238340628645e-05,0.048920131807203546
0.07,1813.839723129309,4646.367885234616,36664.11876324003,0.6950745839640249,1489.6146196052296,44421.70051712673,2311.9017631899887,1871.365380700702,244.52873124578494,97.9789538752388,1.9497442141172168e-05,0.04976299046684709
0.08,1798.1003607814503,4640.116935900284,36685.442280647105,0.6946857772529993,1512.3183709758282,44378.97989612891,2284.153786768928,1858.754586328472,238.68774818324624,93.33043393500878,1.964592645123142e-05,0.05060403311840457
0.09,1782.8624121390976,4634.349188259923,36706.16027779893,0.6920269648718571,1534.5588018958972,44337.51472706267,2257.721559960637,1846.2579441672465,233.0480534754496,89.18206883092219,1.9747748151063842e-05,0.05144440384474611
0.1,1768.0532567170544,4628.992689157593,36726.35940475926,0.6874973092330543,1556.409195132511,44297.09950839334,2232.3999559729514,1833.8624095582654,227.59678680341386,85.44424713452388,1.9810005966134693e-05,0.05228515222972645
0.11,1753.6077558193606,4623.98212602322,36746.11328400537,0.6814663508745178,1577.933377508954,44257.54399455909,2208.013606018565,1821.550080716647,222.32214241913547,82.04413779735376,1.98393816776519e-05,0.053127127456370264
0.12,1739.4804373479267,4619.27272641766,36765.47873104513,0.6741918784316904,1599.175632796996,44218.72508050349,2184.4386578731855,1809.3108294664253,217.21390085406168,78.92998818709582,1.984041196328713e-05,0.05397101891877688
0.13,1725.6302213909585,4614.8242907904705,36784.50437743595,0.6659065548261621,1620.175576157357,44180.52824972241,2161.567596940718,1797.132603302663,212.26252063166385,76.05883769097429,1.9817268930455335e-05,0.05481744171143771
0.14,1712.0246696378986,4610.604641813903,36803.229652323455,0.6567994579970401,1640.9634782905728,44142.8657182958,2139.315677429625,1785.006275897632,207.4597687000696,73.39699287219453,1.97733341528748e-05,0.055666860867934584
0.15,1698.6382997544433,4606.58878058572,36821.68617270606,0.6470203823089141,1661.5628456172135,44105.67098917149,2117.616161760291,1772.9254474001157,202.79829999827123,70.91795720300544,1.971127057704327e-05,0.05651966716349622
0.16,1685.447945858111,4602.753533220271,36839.90151797597,0.6367067446401554,1681.994333128787,44068.882308618646,2096.409951652762,1760.8832314074054,198.27142326291568,68.5989702206617,1.9633581755278163e-05,0.057376174699454996
0.17,1672.4368086638535,4599.081645589622,36857.896660360966,0.6259650941604524,1702.272003928696,44032.45819454557,2075.652600361814,1748.8763787776857,193.87344041200814,66.4222820623552,1.9542183553034805e-05,0.058236589593508865
0.18,1659.5896816433471,4595.557323314578,36875.689801701956,0.6148915355871751,1722.4082005629045,43996.360519280985,2055.3046615153035,1736.9015200593333,189.59905788194192,64.37250096745429,1.94388479942164e-05,0.05910107796793168
0.19,1646.8945785233807,4592.16735471081,36893.29532752655,0.6035679638528535,1742.4115866928166,43960.56067117112,2035.3341737949959,1724.9569367533124,185.4436615357236,62.436812557698396,1.932509920508427e-05,0.05996971566242538
0.2,1634.3422892114086,4588.901009248208,36910.72432130307,0.5920626570520716,1762.28791368717,43925.03830920802,2015.7155364201622,1713.0424460890822,181.40313939826163,60.60456380890717,1.9202217962733383e-05,0.06084251722144942
0.21,1621.9245843058698,4585.748210996475,36927.986193121586,0.5804381819061711,1782.0416875087549,43889.77519442011,1996.4259333891828,1701.1579356473044,177.473688420062,58.866304470986,1.9071416092836216e-05,0.061719451260782106
0.22,1609.636058028901,4582.701102195279,36945.087177846,0.5687461181277648,1801.6742204264845,43854.761816665065,1977.4483749961055,1689.305250500395,173.6520426614209,57.21425018356148,1.8933699033481558e-05,0.06260040086588058
0.23,1597.4720526188466,4579.752410019365,36962.032266528455,0.5570330061382281,1821.185975518024,43819.9903510528,1958.7678904341367,1677.4863723035746,169.9351275094274,55.641462097139794,1.879000605062633e-05,0.0634852168608826
0.24,1585.4294723766907,4576.895900576249,36978.82450553811,0.5453395419171707,1840.5754934556246,43785.45752851456,1940.372749947632,1665.7042890363991,166.3202141462015,54.141945862384354,1.8641179722344005e-05,0.06437368144202382
0.25,1573.5066209237743,4574.1263879660455,36995.46521754411,0.5337006014333967,1859.8397147114501,43751.16421170332,1922.2540887621171,1653.9629325836981,162.8048379942734,52.710535575113845,1.848796245246316e-05,0.06526552187994275
0.26,1561.702307815776,4571.438968109669,37011.954882021564,0.522147939179458,1878.974923221174,43717.112406025735,1904.4042832236362,1642.2663761909516,159.38666815252736,51.34254839122222,1.8331060472417358e-05,0.0661604287725798
0.27,1550.0168445470524,4568.829720613778,37028.29220156761,0.5107085458762993,1897.9755719224152,43683.3086879716,1886.818524199217,1630.6198640138455,156.0636584883441,50.033980923380796,1.8171093576528697e-05,0.06705802135988967
0.28,1538.450944000321,4566.294994960325,37044.47522898393,0.4994065741031608,1916.8356542970555,43649.760569224876,1869.4929421208178,1619.0287772002844,152.8338401882725,48.78119242610271,1.8008645297946077e-05,0.06795788870052877
0.29,1527.0061691197452,4563.831618643753,37060.50092761008,0.4882632423032196,1935.548076922763,43616.478016191955,1852.4252671806278,1607.4991106291811,149.69541176813667,47.58095153144509,1.784425345500259e-05,0.06885956467363116
0.3,1515.6848434472934,4561.436915604262,37076.36530392254,0.47729678694607436,1954.1048498057578,43583.4732119487,1835.6146495798532,1596.0374175865252,146.64669691462788,46.43039511027116,1.7678406614999777e-05,0.06976253656461114
