Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.0,316.75,704.1410379785631,625.3893654276433,541.9942263721795,549.6539462573205,563.2941633443093,20.39623552162238,11489.08042352576,-467.04752942775417,3590.273478633659,3123.2259492059047,50072.68480500124,53195.91075420714,53195.91075420714,484.88198392775166,30.378481560091917
0.01,320.8416894175875,862.391444155772,763.2159844859201,661.3508856978514,671.3422916187898,688.507044867291,20.67393010580622,14234.146522941563,-526.2589646589562,3678.136559359763,3151.8775947008066,35681.240132673185,38833.11772737399,38833.11772737399,340.04624287429726,30.453005869690642
0.02,323.7463186965397,975.4135071713542,861.1174048063065,746.1099535108542,757.8863563150641,777.7444627570337,20.906579545044085,16259.976476347503,-557.0088471857362,3580.7433768983306,3023.7345297125944,26643.226254279143,29666.960783991737,29666.960783991737,250.6384681630738,30.507551314897327
0.03,325.93545452876106,1060.960288337513,934.9369805869682,810.0069690593396,823.197758718466,845.2117765017313,21.107145823162607,17840.008218076364,-573.9815299064079,3427.4371394852483,2853.4556095788403,20674.818151989788,23528.273761568627,23528.273761568627,192.37874455730872,30.549657942591313
0.04,327.6539722788749,1128.3323343648074,992.9078424139168,860.1775677706075,874.5193705999442,898.3129060317518,21.283676438887422,19119.401232856486,-583.7259425751091,3264.610097035503,2680.884154460394,16628.125752790154,19309.009907250547,19309.009907250547,153.27202602161927,30.583346450563276
0.05,329.0398888023338,1182.8016987267185,1039.672664445808,900.6447037627296,915.940378269875,941.2305812344592,21.44104509272886,20180.967334903435,-589.5730257237934,3107.216527425773,2517.64350170198,13861.671083213252,16379.314584915232,16379.314584915232,126.71989280857309,30.610899589695965
0.06,330.20733460592646,1228.7782154082768,1079.075198977204,934.7373149961338,950.8540067498568,977.4432198854652,21.583569581663774,21096.71374852342,-593.5169477330567,2966.674242125289,2373.157294392232,11839.010084262152,14212.167378654383,14212.167378654383,107.43300287305443,30.63413727887857
0.07,331.20675532432887,1268.204843706348,1112.8137085587146,963.9264713960399,980.7585914576861,1008.4878121560307,21.713837692337492,21898.14066785659,-596.4073645952816,2841.0746572257567,2244.667292630475,10357.081260444505,12601.74855307498,12601.74855307498,93.36089823415368,30.653990988394682
0.08,332.0839148289255,1302.859080905085,1142.430278913261,989.5474082310884,1007.0169027998961,1035.7642607035702,21.834095356149742,22614.975634693696,-598.8154526597189,2730.894835458006,2132.079382798287,9220.700796320556,11352.780179118843,11352.780179118843,82.61302356637827,30.67124889094023
0.09,332.8665565877451,1333.8189495469194,1168.8597961158182,1012.4096002400836,1030.4551963685747,1060.1226685685626,21.946032505061385,23265.486543758092,-601.0028383381207,2634.584497797113,2033.5816594589921,8326.618622507138,10360.20028196613,10360.20028196613,74.18522952136925,30.686436687765674
