Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.0,43153.97767474069,1031.5431629201194,2.3172834901505032e-05,2.610546123173108e-05,5.99219974577444e-05,1.8263162151517837e-05,0.004412997486503021,0.06693704333883034,2.6843064486963595e-09,1.3371588872634183e-09,2.9855688390640734e-10,165.58607986002602,171.85070252550065,75.29565757874016
0.01,43144.56603637619,1030.0492393063146,2.317788986814415e-05,2.6076891235041644e-05,6.0018629716306e-05,1.82802043162707e-05,0.004113928350168494,0.06651540311494437,2.8032211738157753e-09,1.3957445768645575e-09,3.195876871445725e-10,165.7640705320953,172.35095351168064,75.3045852380465
0.02,43137.925505409534,1028.7911820524598,2.3181457807344006e-05,2.6052992573433852e-05,6.009673701795306e-05,1.8294303774155947e-05,0.0038851059356321974,0.06616266982560204,2.9017802058645355e-09,1.4442900471235092e-09,3.377088171223804e-10,165.91171509770507,172.75520039589304,75.31318439980393
0.03,43133.12874210008,1027.6982285829165,2.3184035778604445e-05,2.603241703217079e-05,6.016210951452182e-05,1.830632861351747e-05,0.0037013860352925164,0.06585825274093074,2.985975765132354e-09,1.4857534287686502e-09,3.537456944059663e-10,166.03795840572664,173.09353131994905,75.32130843465066
0.04,43129.64931747633,1026.7277578809171,2.318590611852704e-05,2.6014328476568677e-05,6.0218180108206674e-05,1.8316806539050508e-05,0.003548819826733132,0.06558975798014642,3.0594512315364405e-09,1.5219325724561948e-09,3.68207684887775e-10,166.14826009760267,173.38376744609462,75.32893661824127
0.05,43127.19045570905,1025.8540669935,2.3187228044149648e-05,2.5998220305764297e-05,6.026698861637579e-05,1.8326052545217655e-05,0.003419235275375669,0.06534966658290407,3.124378696007728e-09,1.5538991710805957e-09,3.8139744434372487e-10,166.24590509315007,173.6365034134271,75.33606615435907
0.06,43125.45969159524,1025.0540050826933,2.3188158622570945e-05,2.598364544771784e-05,6.031033224357393e-05,1.8334361366461204e-05,0.003306522280452242,0.06513131411356426,3.182797764294171e-09,1.5826589320239474e-09,3.9361756785539334e-10,166.33388248070958,173.86102579825462,75.34277427742545
0.07,43124.32637160396,1024.3146567586366,2.31887680142053e-05,2.5970335568428e-05,6.034920758910863e-05,1.8341893283300268e-05,0.003207068021778536,0.06493094056484909,3.2358163689204568e-09,1.6087581447031892e-09,4.050275730678018e-10,166.41387376811588,174.0625027845484,75.34908984463007
0.08,43123.659577328835,1023.6244092200419,2.3189126567674802e-05,2.5958058396284378e-05,6.0384494852416636e-05,1.8348795782600543e-05,0.0031180370277050003,0.06474520576453202,3.284456539285664e-09,1.632700578292813e-09,4.157817704842813e-10,166.48738782204916,174.245481006914,75.35506528757689
0.09,43123.371878197955,1022.9748313830945,2.3189281274769095e-05,2.5946639268647995e-05,6.041682849244141e-05,1.8355175996245917e-05,0.003037420270070985,0.06457168548672579,3.329461425860045e-09,1.6548524738465912e-09,4.259928039526023e-10,166.5555297102371,174.41323836634672,75.3607420850885
0.1,43123.40535063391,1022.3598937556254,2.3189263275222767e-05,2.5935951943878364e-05,6.0446658239294224e-05,1.836110977388308e-05,0.002963779259136523,0.06440863696749917,3.371356968791566e-09,1.6754730116118346e-09,4.357399700400549e-10,166.61908833201156,174.5681003470165,75.36614938891518
0.11,43123.70316584795,1021.7740669688852,2.318910312860041e-05,2.5925881979718527e-05,6.047439237161272e-05,1.8366667997217115e-05,0.00289592141560943,0.06425448065388555,3.410635948544056e-09,1.694804977532233e-09,4.451002473222423e-10,166.67878918811527,174.71217210295623,75.37132253282432
0.12,43124.23189481071,1021.2136389107062,2.3188818816279796e-05,2.5916350019312878e-05,6.050030476847509e-05,1.837189754329549e-05,0.002833003022757754,0.06410814250728983,3.4476238227137887e-09,1.7130087197680527e-09,4.541231044817961e-10,166.7351210985273,174.8468690243631,75.37628239181815
