Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.0,41.57797277796757,1.201145390618538,1.5851514504197067e-05,1.0475946160527282e-05,1.8539428576051584e-05,2.151290318191254e-05,1.782508473311079e-05,1.709402081449419e-05,2.6033002969609218e-05,38.536002353385804,33.672649343993996,29.164648512415376,29.70776953064372,0.02528738443555927
0.01,41.05315524210306,1.178172967385401,1.604118729899075e-05,1.0625325629500954e-05,1.871886862839908e-05,2.1728469954505547e-05,1.790224797468744e-05,1.7537417595146388e-05,2.6629192514087722e-05,38.811709738951876,33.69631314482952,29.17629795879468,29.77199559452688,0.025517368036196954
0.02,40.68871783768897,1.1612140524335361,1.6175294807743315e-05,1.0731454238565267e-05,1.884551722647376e-05,2.18806489226694e-05,1.794360197666036e-05,1.786300603029777e-05,2.705839207525381e-05,39.001899599048826,33.713674331515286,29.18475256140467,29.81650056282469,0.025674438965329408
0.03,40.41831211880559,1.1479060368176008,1.6276099979033798e-05,1.0811507944562718e-05,1.8940595803197077e-05,2.199491104392677e-05,1.7965437113762854e-05,1.8115723865651754e-05,2.738594336474198e-05,39.14235573897928,33.72705928596304,29.19122373671414,29.84947649181622,0.025788735387244587
0.04,40.20852976557807,1.1370242593236508,1.6355081259301444e-05,1.087439853695982e-05,1.9015019310030595e-05,2.2084360780985244e-05,1.7975593923473502e-05,1.8319445368451532e-05,2.764608957310308e-05,39.25093804686311,33.73774371881117,29.19636234739424,29.875034200817055,0.025875522432656364
0.05,40.040915395604245,1.1278794970851822,1.6418680472382588e-05,1.0925148480747994e-05,1.907490354997136e-05,2.2156342162436723e-05,1.7978295742462247e-05,1.8487818386291956e-05,2.785826084202796e-05,39.33745480334817,33.74647152882725,29.200543306041343,29.89543962538066,0.025943299709912136
0.06,39.90078994431885,1.1199257963634568,1.6472189592346448e-05,1.0967921431392878e-05,1.9125256342496957e-05,2.22168710516553e-05,1.7976950514789624e-05,1.8632416631562607e-05,2.8038802556702093e-05,39.40962036892382,33.753899563099814,29.204090439977417,29.912488808997818,0.025999137473256627
0.07,39.78160128997536,1.112897845581128,1.651794968645878e-05,1.1004554264800255e-05,1.916829506822724e-05,2.2268610889392865e-05,1.7972780822591375e-05,1.875846213104102e-05,2.819490120637867e-05,39.47088756274037,33.76031287801739,29.20714508291938,29.92698390569014,0.026045936996199864
0.08,39.67757523841499,1.1065677289819122,1.6558074630807058e-05,1.1036717051739832e-05,1.920601707810018e-05,2.2313961514788018e-05,1.7966949452037587e-05,1.8870744819582875e-05,2.8333164412666673e-05,39.52427404177098,33.76598232880727,29.20983952148581,29.939630166545726,0.026086407631394415
0.09,39.585216526459455,1.100789099599338,1.659384567041982e-05,1.1065422333047357e-05,1.923963284111495e-05,2.2354377341541012e-05,1.796003870305746e-05,1.8972237329936313e-05,2.845760421040012e-05,39.571605425131445,33.77107251690144,29.212254084753983,29.950854396445038,0.026122105543985145
