Position,Tl,Tv
0.0,323.731215318729,316.75
0.01,325.70609957406884,320.7992857005689
0.02,327.2978794333268,323.6725946970573
0.03,328.62706593403607,325.8380221002265
0.04,329.7649599469065,327.5380361879264
0.05,330.75403384435515,328.9091357503538
0.06,331.63121908984874,330.0642141621653
0.07,332.41716584591353,331.05311124667867
0.08,333.12994658765064,331.9210611607759
0.09,333.7825847110752,332.6954866753927
0.1,334.3843335230039,333.39452217158663
0.11,334.94353517121,334.033923231743
0.12,335.4658166249704,334.6229350663538
0.13,335.9562369718121,335.1700204745405
0.14,336.4188054492945,335.6813059373937
0.15,336.85663457177185,336.1614456397586
0.16,337.27260134921966,336.61464728311137
0.17,337.6688426066647,337.0438652364671
0.18,338.0473177399968,337.45184089298834
0.19,338.40966243864744,337.8407579210291
0.2,338.7572112091806,338.2123975179994
0.21,339.09121645682865,338.5684067717787
0.22,339.41266036805666,338.9100439228962
0.23,339.7224550853105,339.2384896312118
0.24,340.0213854225847,339.55472912782767
0.25,340.31011100895785,339.85959593027223
0.26,340.5892567225478,340.15387067929964
0.27,340.8593292541767,340.4381767129094
0.28,341.12080322929995,340.7131034772204
0.29,341.37409518566443,340.9791560346845
0.3,341.6195625774088,341.2367713349053
0.31,341.857546425918,341.48636204789426
0.32,342.0883306744522,341.7282675856958
0.33,342.3121833791552,341.96281098992944
0.34,342.5293443228335,342.1902747991795
0.35000000000000003,342.74002379773754,342.4109083575358
0.36,342.94442416386676,342.6249490796571
0.37,343.14271964279357,342.83259839931253
0.38,343.33507645958565,343.0340496629998
0.39,343.52164753885137,343.22947635690235
0.4,343.7025712755557,343.4190358316049
0.41000000000000003,343.87798264436054,343.6028796732387
0.42,344.04800372814327,343.78114240896195
0.43,344.21275275034276,343.953954841849
0.44,344.372342827626,344.12143873378733
0.45,344.52688048633235,344.2837087976292
0.46,344.6764713448091,344.44087729362474
0.47000000000000003,344.8212163140703,344.5930495690946
0.48,344.96121457234347,344.7403295963654
0.49,345.0965645641332,344.8828180700992
0.5,345.22736211639307,345.02061340461313
0.51,345.3537034225978,345.15381328244706
0.52,345.4756838734033,345.2825135837252
0.53,345.5933980535625,345.4068099440447
0.54,345.7069416919497,345.5267974338196
0.55,345.81640944436674,345.642570934323
0.56,345.92189676275746,345.754225315202
0.5700000000000001,346.0234994753948,345.8618555781532
0.58,346.1213128250356,345.9655568326982
0.59,346.2154334443551,346.0654244101416
0.6,346.30595702778265,346.1615538721726
0.61,346.3929799569273,346.25404086916643
0.62,346.47659859844197,346.34298120573874
0.63,346.5569086037329,346.4284706947433
0.64,346.63400635206926,346.5106050636975
0.65,346.7079867686204,346.5894797909058
0.66,346.7789450896877,346.66519022205455
0.67,346.8469754828071,346.7378309555125
0.68,346.91217116933996,346.80749630390426
0.6900000000000001,346.97462511642357,346.8742797382527
0.7000000000000001,347.0344281921443,346.93827368930323
0.71,347.0916711440833,346.999570136107
0.72,347.1464425593204,347.0582592007501
0.73,347.19882989047096,347.1144304099208
0.74,347.2489194282818,347.16817168039535
0.75,347.2967948776952,347.219569163589
0.76,347.34253946558204,347.26870828155984
0.77,347.38623345670254,347.3156716995671
0.78,347.42795589292626,347.36054125857237
0.79,347.46778400679887,347.403396634069
0.8,347.50579216579933,347.44431523621114
0.81,347.54205410590487,347.4833735999406
0.8200000000000001,347.576639711874,347.52064479924405
0.8300000000000001,347.60961776000266,347.55620100336785
0.84,347.6410538400895,347.5901115557723
0.85,347.67100356559206,347.622440678047
0.86,347.69953310786264,347.6532558530016
0.87,347.7266374906677,347.6825960008677
0.88,347.75232616444464,347.71050481851375
0.89,347.7764617975138,347.7369701898233
0.9,347.79789259695394,347.761602847826
0.91,347.817096446149,347.78461671136864
0.92,347.82497547068004,347.8026826098993
0.93,347.8142800264332,347.8131867551981
0.9400000000000001,347.7569482736992,347.8057292298388
0.9500000000000001,347.4854942071619,347.71778271844465
0.96,346.6926970046705,347.43192537023987
0.97,344.4564603735672,346.5720877237409
0.98,338.9444724895145,344.1936488327053
0.99,329.2121800830471,339.0647243513005
1.0,318.15,331.2746083631444
