Position,k2,Cl_MEA_true,Dl_CO2,kl_CO2,Ha,E,Psi,Psi_H,eta_psi
0.0,23.903968712829368,1309.3032900439282,2.4364860071456693e-09,2.4512309311185516e-05,356.2483553289378,105.13369410378934,97.90362709229574,0.040924585749381,1.0
0.01,25.98818766374898,1340.302376439967,2.543147431119551e-09,2.535484673495345e-05,371.20530151175416,101.84844960236413,96.77321293672115,0.03930757257388781,1.0
0.02,27.82439045805433,1368.64510476238,2.631590311178042e-09,2.6053768137825078e-05,384.234935437692,99.88445170762867,96.45636267969553,0.03827571564467486,1.0
0.03,29.480179016939925,1395.1287823908972,2.7071588092557755e-09,2.665212021322917e-05,395.91076514084125,98.8033367694192,96.71023235650075,0.037627984830658254,1.0
0.04,30.997824650235664,1420.2253107716879,2.773108187992979e-09,2.7175894774505662e-05,406.5779174553895,98.35050896391978,97.38740038270902,0.03724950720653238,1.0
0.05,32.40193149956391,1444.2406197729322,2.83138465157998e-09,2.764065394253758e-05,416.44375195607864,98.38409527377188,98.40705125794624,0.037075846370151704,1.0
0.06,33.719752795942114,1467.424867359509,2.883814401288614e-09,2.8060589285438374e-05,425.7032779102627,98.77724673884674,99.68872683204262,0.03705190353269939,1.0
0.07,34.96467725991573,1489.929160494072,2.9313917566818875e-09,2.8443543078651658e-05,434.46101218660107,99.46562009389643,101.19403309499377,0.037148871484328244,1.0
0.08,36.15071170310326,1511.8848154941622,2.9750340526601705e-09,2.879661131714525e-05,442.8150414622924,100.39226924839731,102.8867023871401,0.03734201096635808,1.0
0.09,37.2880517650973,1533.386420061682,3.015408667708897e-09,2.912495004359597e-05,450.83596389480664,101.51751671784946,104.74139545268358,0.037614059700785324,1.0
0.1,38.383737712586566,1554.5052705529208,3.052988651953217e-09,2.9432225159466977e-05,458.57378988645434,102.81537614834085,106.74211266559776,0.03795351032022623,1.0
0.11,39.44500273356506,1575.303533009733,3.0882171238645373e-09,2.972182492656748e-05,466.0758072531012,104.26150569892383,108.87299369613241,0.03834987727338798,1.0
0.12,40.47625734634492,1595.82464614217,3.1213871933256873e-09,2.999600944092024e-05,473.3725809221923,105.84121937208678,111.12508537699425,0.038796605479435975,1.0
0.13,41.481905554911194,1616.1075424542637,3.1527701155428934e-09,3.0256850024270477e-05,480.492837073678,107.54104252670498,113.48987979178067,0.03928779405137176,1.0
0.14,42.46540714815009,1636.1822136359997,3.18258156979192e-09,3.05059912295213e-05,487.4590193836014,109.35057828741483,115.96085645048285,0.039818859558192025,1.0
0.15,43.42933342086921,1656.0721924496008,3.210988106379686e-09,3.074470512953214e-05,494.2881861096498,111.26237916072205,118.53357469473751,0.040386433825399685,1.0
0.16,44.37629397019559,1675.7982757197497,3.23814763857628e-09,3.097418687473687e-05,500.996616968924,113.26912867046543,121.20342671233198,0.0409872931884256,1.0
0.17,45.308012515960584,1695.3750050423632,3.26417531852414e-09,3.1195310955222206e-05,507.59555835022627,115.36587125145292,123.96747944050736,0.04161916619999545,1.0
0.18,46.226189016165044,1714.8152781480633,3.2891787937768655e-09,3.140888911925193e-05,514.0955940923097,117.54786267908,126.82281592439844,0.04227991737636956,1.0
0.19,47.13218861214638,1734.1285123423775,3.313247894962077e-09,3.161559624772196e-05,520.5051508431184,119.81107591712119,129.7669140584803,0.04296772993398203,1.0
0.2,48.02703204378432,1753.3213799596092,3.336455306578951e-09,3.181597737205283e-05,526.8306404547258,122.15230358629283,132.79778512910954,0.04368112947544279,1.0
0.21,48.91174913004006,1772.3993694259257,3.3588705488254595e-09,3.20105494875381e-05,533.0781653044972,124.56822679334822,135.91322389971117,0.04441863821563653,1.0
0.22,49.78699934757961,1791.364974120323,3.3805470408087766e-09,3.219970824496328e-05,539.2517590179086,127.05619264019715,139.1114202958543,0.04517905653223392,1.0
0.23,50.65342274567543,1810.2198819519688,3.401535079855039e-09,3.2383823342490314e-05,545.3551504088549,129.613511547462,142.3904381592861,0.045961198929472216,1.0
0.24,51.511505519862766,1828.963973878106,3.4218777608270046e-09,3.25632085856303e-05,551.3910996065157,132.23760176757568,145.74829444865776,0.0467639485717066,1.0
0.25,52.361567333477,1847.5956270777842,3.4416108524639836e-09,3.273812185032203e-05,557.3614176789168,134.92607263955625,149.1830481575663,0.047586282907287995,1.0
0.26,53.2039267845157,1866.1125909954596,3.460768748653727e-09,3.290880861281328e-05,563.2677617182641,137.6763594293519,152.69251307088805,0.04842714022061776,1.0
0.27,54.03871581851365,1884.5108841501328,3.4793786373554984e-09,3.307545934389725e-05,569.1107603596331,140.48601812854176,156.27446334232383,0.04928552778404024,1.0
0.28,54.86605110847617,1902.7860788294372,3.497466236366928e-09,3.323825213327489e-05,574.8908837608221,143.3524762197029,159.92647261520338,0.05016042780227684,1.0
0.29,55.685966708369165,1920.9326987803552,3.5150539183062868e-09,3.3397338630148606e-05,580.608102028496,146.2730640583177,163.6459059004916,0.051050811694542245,1.0
0.3,56.498405811331914,1938.944390235491,3.5321605357246536e-09,3.3552843230068954e-05,586.2618888156164,149.2450726809327,167.4299777377847,0.051955659117118344,1.0
0.31,57.30330827442084,1956.8144643428325,3.5488042970581252e-09,3.37048842801114e-05,591.8516429950594,152.2655973252615,171.27563659257873,0.05287390152638537,1.0
0.32,58.10051248772754,1974.5352535134698,3.5649998838842266e-09,3.385355282639606e-05,597.3762253564798,155.33166331280435,175.17963894525772,0.053804469244718156,1.0
0.33,58.88984695511415,1992.0988741360434,3.580761254437554e-09,3.399893367174945e-05,602.8344244139961,158.44013298854819,179.13850575978077,0.054746255880405686,1.0
0.34,59.671096057361815,2009.4969133374827,3.5961007400562772e-09,3.4141098555160104e-05,608.2247838835117,161.58771515525365,183.14850947202993,0.055698123814666683,1.0
0.35000000000000003,60.44399577471495,2026.7205565675351,3.6110289134294614e-09,3.428010551466957e-05,613.545609127346,164.7710123666324,187.2057227445105,0.05665891993139353,1.0
0.36,61.20828183679002,2043.7608707898933,3.6255560712751354e-09,3.4416009810561974e-05,618.7951919728994,167.98643850871943,191.30595841805646,0.05762744673964298,1.0
0.37,61.96364013183862,2060.608579420611,3.6396907825214384e-09,3.454885343584068e-05,623.9715933538189,171.23031530290643,195.44484290499332,0.05860249638393254,1.0
0.38,62.70975398875514,2077.2543824785876,3.6534412825603085e-09,3.4678675459197596e-05,629.0728688556651,174.49881028039871,199.6177789160402,0.05958282848263329,1.0
0.39,63.44629057421376,2093.688909035088,3.6668150803594244e-09,3.48055092591916e-05,634.0970109827116,177.78796989263398,203.81997295889713,0.060567181645870515,1.0
0.4,64.17289874178906,2109.902824754949,3.679818849916101e-09,3.4929382006163285e-05,639.0419572840879,181.09376702207857,208.04648751481812,0.06155428872495761,1.0
0.41000000000000003,64.88923365212565,2125.886861154737,3.692459206076814e-09,3.5050320137206835e-05,643.9056864575851,184.41202603920274,212.29217454434573,0.06254285204019108,1.0
0.42,65.59493827380528,2141.6319961368154,3.7047420168827083e-09,3.5168345002336676e-05,648.6861737917172,187.73856220748075,216.55182023534937,0.06353158794494908,1.0
0.43,66.28966137770598,2157.1293498418986,3.7166730347712206e-09,3.5283477035322574e-05,653.3814436954797,191.06908482277834,220.82005007384038,0.06451919560011168,1.0
0.44,66.97305841430932,2172.3703790485183,3.728257800327973e-09,3.5395735540248916e-05,657.9895982924974,194.39927576803095,225.0914195123689,0.06550438109154781,1.0
0.45,67.64478955345302,2187.3469623318747,3.739501525545357e-09,3.5505138077919114e-05,662.5088210423361,197.72484006794917,229.3604721391046,0.06648587280980167,1.0
