Position,Cl_CO2,Cl_MEA,Cl_H2O,Cl_CO2_true,Cl_MEA_true,Cl_H2O_true,Cl_MEAH_true,Cl_MEACOO_true,Cl_HCO3_true,Cl_CO3_true,Cl_H3O_true,Cl_OH_true
0.0,1955.7723028303558,4717.35996181657,36477.800758273595,0.5769928391399425,1295.9467369944307,44806.23190746344,2593.095671180677,1965.0401732805446,294.8467872957303,166.58267096041766,1.604835402209155e-05,0.04338473192092792
0.01,1929.5800673870676,4701.246471184189,36510.76301036029,0.6220949989073746,1329.774506642729,44734.04029100118,2534.673529227258,1951.657513033868,286.79497174795887,148.08835791509924,1.7089992938482712e-05,0.044345705224802134
0.02,1906.0585025307319,4687.977941237179,36541.033107445764,0.6540156815538436,1360.7767102309506,44669.88710546483,2485.3900372828257,1937.7157416619884,278.9037624012064,134.36263006671462,1.787545548491734e-05,0.045290961657395594
0.03,1884.4577672957914,4676.702407040907,36569.26851539791,0.6762117147127226,1389.8063116148937,44611.33649298127,2442.2268602789177,1923.6469119553021,271.2746710967346,123.62953595878693,1.8474655684456684e-05,0.04622378396309278
0.04,1864.316152680265,4666.902325804136,36595.91095502166,0.691001512383304,1417.3675049574322,44556.926292329685,2403.4576131419126,1909.627876632598,263.93818405257025,114.92221228254189,1.8932460576478568e-05,0.04714682412151911
0.05,1845.3387781051965,4658.268637372827,36621.26265726123,0.6998357518565086,1443.7875086560664,44505.75781852014,2368.0393973047485,1895.7390197037341,256.89028145239905,107.68102612398522,1.9276015437662094e-05,0.04806317666017623
0.06,1827.2697637206693,4650.52812245847,36645.55390115148,0.7041774594908465,1469.3333851157756,44456.998848607705,2335.156067242722,1881.9842157673752,250.12027730109688,101.5013094050551,1.953248409618495e-05,0.0489748966232711
0.07,1809.9549777286124,4643.522023202202,36668.96472323999,0.7048599041281911,1494.1658404572374,44410.207186900756,2304.3184017182652,1868.369729798056,243.61192845423764,96.14343966115248,1.971673077491314e-05,0.04988386039770872
0.08,1793.2583659350275,4637.112092518983,36691.636040141355,0.7026592632158126,1518.4243678843025,44364.9682949495,2275.126294900691,1854.878868334164,237.3479292087732,91.42436276509845,1.984274309415248e-05,0.050791670299921876
0.09,1777.0795551297037,4631.195889080546,36713.6815827281,0.6981587370054297,1542.2087025708722,44320.99027106014,2247.291356082241,1841.4959274983655,231.3125096184433,87.21561967611356,1.9920891323177133e-05,0.051699534096024326
0.1,1761.3441148657703,4625.700130837733,36735.190232626206,0.6917825207940222,1565.5933621711679,44278.065814423375,2220.6034493037705,1828.208666469811,225.4907652845656,83.42571448117853,1.995859725175755e-05,0.05260854563333296
0.11,1745.9854268719819,4620.558310177697,36756.23720457898,0.6839207780436363,1588.642960320105,44236.00320337456,2194.8833261654554,1814.9997802220362,219.86913205208944,79.98045713724304,1.9962827275572014e-05,0.05351957967113747
0.12,1730.9573649243302,4615.724936636533,36776.880094238884,0.674846531235633,1611.4015508884552,44194.680251195816,2170.0048845356873,1801.860250348357,214.43599673831795,76.82711203353888,1.993832829779892e-05,0.054433320263110214
0.13,1716.2184111195354,4611.159222543407,36797.16791734809,0.6648045610541645,1633.908278349237,44153.9836353908,2145.858995752164,1788.7790807506424,209.1805883723129,73.92199807560145,1.9889451626954505e-05,0.05535036745673742
0.14,1701.7361094318057,4606.8285528660535,36817.13997007925,0.6539936697687107,1656.1923544263393,44113.82783319411,2122.360105417217,1775.7484461893023,204.093663841543,71.23087202957711,1.9819731984960124e-05,0.05627114694910531
0.15,1687.4853216917475,4602.707667177033,36836.82729354362,0.642571227486261,1678.275766265764,44074.14955700419,2099.4413332211234,1762.7634877403566,199.16703110691176,68.72681905696687,1.9731959185556226e-05,0.05719599188079367
0.16,1673.4433606073728,4598.773161869899,36856.256655949845,0.6306806863094363,1700.177459132204,44034.890480433816,2077.0437457129046,1749.8188819936613,194.39324264765804,66.38675777655037,1.9628750558791295e-05,0.058125147235068814
0.17,1659.5942828749498,4595.007674392985,36875.447758995564,0.6184335110776388,1721.9092436191656,43996.01360126766,2055.1236543983628,1736.9132640839487,189.7659907071175,64.19268019732728,1.9512122856619818e-05,0.059058724763997726
0.18,1645.923839922327,4591.395339576141,36894.417366251844,0.6059295295890059,1743.4810814314478,43957.48546937282,2033.6425743646168,1724.045187989685,185.2794212367873,62.12899386762451,1.9383937503294564e-05,0.05999678683255785
0.19,1632.4212180772179,4587.922917697998,36913.1781337005,0.5932536083919597,1764.898928346259,43919.282717126865,2012.569834562111,1711.2150360121252,180.92843860103704,60.18271995427158,1.9245801713816166e-05,0.060939286207072535
0.2,1619.0785691564436,4584.57970320597,36931.73916397513,0.5804762894657776,1786.1655571475992,43881.390759102185,1991.8814033362744,1698.4248900162263,176.70850794673123,58.34306918748066,1.909907222274888e-05,0.061886097427856834
0.21,1605.889093925059,4581.355654455711,36950.10777318843,0.5676616532356782,1807.2824007711883,43843.79725311374,1971.5561420688537,1685.6769395370807,172.6154237366063,56.60048035077747,1.8945030081192846e-05,0.06283703864187633
0.22,1592.8490121007692,4578.242982467943,36968.28784323598,0.5548624082953518,1828.2474001665914,43806.49913025455,1951.578998359175,1672.9755178232317,168.64556874970575,54.94706937447809,1.878474703468959e-05,0.06379182202769584
0.23,1579.9553389901653,4575.234493873785,36986.28193591889,0.5421256051342496,1849.0575943545489,43769.49510242787,1931.9370009847469,1660.3251208198815,164.79552292628506,53.37581286990316,1.8619222293145855e-05,0.06475011799687143
0.24,1567.2067469174817,4572.3240418106725,37004.09053363577,0.5294920550888863,1869.7079596374995,43732.78868055772,1912.6205333925566,1647.7313337673343,161.06222976766006,51.88063839666619,1.844935507557915e-05,0.06571151358490407
0.25,1554.6033779902782,4569.506537291874,37021.712298236474,0.5169963706061641,1890.1917811058229,43696.38768059534,1893.622918347548,1635.200744971918,157.44290556989088,50.45630527672247,1.8275940526403084e-05,0.06667552823462454
0.26,1542.1458994338427,4566.777172058254,37039.145012795125,0.5046696039366757,1910.50167938746,43660.30107096948,1874.938730093077,1622.7400833878198,153.93489724732942,49.098062961035986,1.8099732664992214e-05,0.06764163558823794
0.27,1529.836509158275,4564.132116720208,37056.38464610157,0.49253776469400345,1930.628418620962,43624.54244058976,1856.5653622140528,1610.357267050717,150.53583356931216,47.801835144168486,1.7921396049912802e-05,0.06860922708297663
0.28,1517.6778040912147,4561.567810215928,37073.42651498615,0.4806236697034608,1950.5623381411422,43589.126253479786,1838.5011251514047,1598.0603257891976,147.2434145483953,46.563912449456964,1.774155414962616e-05,0.06957765645205656
0.29,1505.6732000024904,4559.0811556458975,37090.264888469,0.46894691401401695,1970.2927680129064,43554.069286051366,1820.7458559019353,1585.857851439727,144.05549423841398,45.38099078424308,1.7560780712109647e-05,0.07054621608897045
0.3,1493.826815126978,4556.669539814545,37106.89316134513,0.4575238327370178,1989.8082714712775,43519.390305736095,1803.3007016193208,1573.7589119409931,140.97003442352445,44.25012924293754,1.7379595620943264e-05,0.07151414852348693
0.31,1482.1430054006212,4554.330473732121,37123.304319618175,0.446368600931843,2009.0971684639658,43485.108507258694,1786.1673325777633,1561.7726016802887,137.98504128194926,43.1686130774358,1.7198491804882453e-05,0.07248065914525692
0.32,1470.6267620328945,4552.061911450772,37139.49062053165,0.4354926069084619,2028.1471093595565,43451.24493010917,1769.3485558374314,1549.9084615005904,135.0986148581853,42.13402579558889,1.701791267411049e-05,0.07344490539051644
0.33,1459.283225002262,4549.861931224404,37155.44406280182,0.42490531917385377,2046.9456765196792,43417.82079881607,1752.847521444931,1538.175996987036,132.30887679173566,41.14412924461579,1.683827427842342e-05,0.07440601520216507
0.34,1448.1177787442841,4547.728809422092,37171.15635191777,0.4146142491469681,2065.480280254421,43384.85790301547,1736.6678605063062,1526.584784300664,129.613985835058,40.19687197297397,1.665996025372759e-05,0.07536308459664405
0.35000000000000003,1437.1359602492353,4545.661039461049,37186.61904186981,0.40462491877801143,2083.7383509705737,43352.37833051367,1720.8135422661667,1515.1443834169759,127.01211398891616,39.290373077456415,1.6483318332693584e-05,0.07631518868012022
0.36,1426.3433339517153,4543.6571613533715,37201.82360126628,0.39494156545800957,2101.707409078449,43320.40397830562,1705.2886516705103,1503.8642151125953,124.50145245242732,38.42286951783531,1.630867667147431e-05,0.07726137849396494
0.37,1415.7454078610485,4541.715893749055,37216.76167828894,0.3855665762293549,2119.375346572579,43288.95644510055,1690.0972933681383,1492.7534755454317,122.08017005973541,37.59273159784534,1.6136326459352345e-05,0.07820070360707079
0.38,1405.3476493127955,4539.836008082364,37231.42494696748,0.37650124468208984,2136.730278835446,43258.05693698003,1675.2435821526658,1481.821157730627,119.74645140628925,36.798428391888,1.5966539083710982e-05,0.0791321985127744
