Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.0,323.9363933238155,-83999.99999,-53649.47598729294,-48048.20796299912,-50290.030093818554,89.00172958569635,-4475899.659266571,-58903.28699588879,284842.68148356787,-3213.711580514487,-51024.20091311981,-54237.91249363429,54237.91249363429,229.10450107617794,82.44268718218203
0.01,325.98359019807856,-83999.99999,-53297.07109438815,-47894.05265874856,-50097.732185908084,89.28744481202345,-4473098.497756799,-54321.99209796798,238265.96243217465,-3250.6416806113702,-36426.02704082637,-39676.66872143774,39676.66872143774,182.1068161878652,82.51759054360812
0.02,327.6305101477767,-83999.99999,-53012.80720560567,-47770.023340891974,-49940.75150106948,89.52662562407991,-4471026.963021454,-50929.32254222093,205126.21456084133,-3123.3562885228466,-27227.008348603766,-30350.36463712661,30350.36463712661,149.76798884465595,82.58242478888964
0.03,329.00430453940305,-83999.99999,-52775.16380867001,-47666.551064276304,-49807.969881193785,89.7328191000551,-4469409.551090155,-48323.737724760096,180580.619353305,-2951.3430398177743,-21141.3110914656,-24092.654131283372,24092.654131283372,126.5043740686469,82.64013012132612
0.04,330.1797929974549,-83999.99999,-52571.446178719896,-47578.00525207715,-49692.82289456192,89.91437155306973,-4468098.94126253,-46269.67644470336,161809.79037502877,-2776.2405100659225,-17010.887940147462,-19787.128450213386,19787.128450213386,109.20469305012497,82.6924895165827
0.05,331.2012158208669,-83999.99999,-52394.145290725675,-47501.0568561987,-49591.410644755306,90.0763006794849,-4467010.816356787,-44631.00560016164,146991.9540195826,-2610.1208519452903,-14184.607042311483,-16794.727894256772,16794.727894256772,95.92610481140426,82.74059405498024
0.06,332.10703049190727,-83999.99999,-52236.690919346685,-47432.81121389795,-49500.33825863942,90.22305051159715,-4466071.51905037,-43290.676732133106,135164.95981779834,-2462.952763531077,-12117.77651070571,-14580.729274236786,14580.729274236786,85.51569435716557,82.78545344468904
0.07,332.9186342780815,-83999.99999,-52095.43611554663,-47371.658076534135,-49417.70680706651,90.35727122659523,-4465249.13736247,-42185.02534287429,125483.01779860503,-2331.881181456057,-10603.200212800828,-12935.081394256886,12935.081394256886,77.1502490830021,82.8276174907931
0.08,333.65471957573527,-83999.99999,-51967.18017184033,-47316.19043313277,-49341.85473431829,90.48125985211405,-4464513.179801117,-41259.24874213595,117464.53178279853,-2216.8972834842516,-9441.656215229008,-11658.55349871326,11658.55349871326,70.31015226232611,82.86759514753685
0.09,334.3287384866874,-83999.99999,-51849.617843804655,-47265.39570715749,-49271.5835273072,90.59674280736122,-4463844.980534866,-40474.31292480413,110738.82895894765,-2116.1883985289605,-8527.667720917496,-10643.856119446456,10643.856119446456,64.63198082118352,82.90575214449994
0.1,334.9502134180783,-83999.99999,-51741.11771846904,-47218.55716031765,-49206.041989995894,90.70496369270288,-4463232.252164191,-39803.10998351512,105006.57082363572,-2027.0831346187001,-7795.935668900075,-9823.018803518775,9823.018803518775,59.835431478812254,82.94235050718012
0.11,335.5277261647701,-83999.99999,-51640.2044596898,-47175.028719449634,-49144.46265249651,90.80705215135885,-4462663.783035758,-39221.170564745415,100089.74366686723,-1948.6280548530476,-7191.089276051889,-9139.717330904936,9139.717330904936,55.746820803136806,82.97763270306413
0.12,336.0670482873803,-83999.99999,-51545.88768143201,-47134.37594761481,-49086.328511539614,90.90378838693515,-4462133.219704579,-38712.192014206055,95811.0454779324,-1878.6322420161355,-6686.5687281307555,-8565.20097014689,8565.20097014689,52.21043907949505,83.01175908580954
0.13,336.5733597471544,-83999.99999,-51457.27619215306,-47096.20887464164,-49031.17515624617,90.99587080370536,-4461634.479871624,-38261.50536744947,92057.18735953818,-1815.98988062442,-6256.850595013349,-8072.8404756377695,8072.8404756377695,49.1231784748665,83.04487768109783
0.14,337.0507604009553,-83999.99999,-51373.66445142074,-47060.21884689385,-48978.63535834964,91.08385992049384,-4461163.162076865,-37857.3931365855,88735.19025300123,-1759.6153105948104,-5886.19760352645,-7645.81291412126,7645.81291412126,46.40444474706023,83.07710439280362
0.15,337.50242136503977,-83999.99999,-51294.507053891284,-47026.16714655347,-48928.42518588184,91.16819012646035,-4460715.969934766,-37490.7369753862,85762.50157302759,-1708.3304540599129,-5563.125940008116,-7271.456394068029,7271.456394068029,43.98386466055563,83.10852838422024
0.16,337.93127200946805,-83999.99999,-51219.29899917589,-46993.833218247724,-48880.28262710092,91.2492635370767,-4460289.791207124,-37152.977326778215,83087.48706621355,-1661.589257734132,-5277.632602652518,-6939.2218603866495,6939.2218603866495,41.817284922585536,83.1392328293105
0.17,338.3394795774716,-83999.99999,-51147.66735279471,-46963.05391584852,-48834.01477409934,91.32737820000055,-4459882.536298585,-36837.62771582478,80654.74888694573,-1618.5125021548445,-5023.663725778602,-6642.176227933447,6642.176227933447,39.859196056740224,83.16927667150759
0.18,338.72902739071924,-83999.99999,-51079.27023375112,-46933.679920297116,-48789.44531099632,91.40280575151412,-4459492.192485118,-36538.65734139416,78426.8198765564,-1578.6017460794749,-4795.329184361884,-6373.930930441358,6373.930930441358,38.07862558648465,83.1987143069453
0.19,339.1015673435061,-83999.99999,-51013.82292922737,-46905.58686883838,-48746.42835968952,91.47577209761847,-4459117.171203844,-36250.88506208752,76371.56546187702,-1541.394428161404,-4588.542754016015,-6129.937182177419,6129.937182177419,36.449820017927294,83.2275891667936
0.2,339.4584411176264,-83999.99999,-50951.094404527365,-46878.67376329198,-48704.84636085532,91.54645867906832,-4458756.204844412,-35969.96780609277,74458.49300410127,-1506.3812056053048,-4399.960661484807,-5906.341867090112,5906.341867090112,34.94839696498861,83.25593477975454
