Position,rho_true_mol_m3
0.0,51122.364340794666
0.01,50985.69562736222
0.02,50867.73531162719
0.03,50762.64323785923
0.04,50666.97785066572
0.05,50578.6429699656
0.06,50495.84727532832
0.07,50417.57129047096
0.08,50342.92358881879
0.09,50271.26426469816
0.1,50202.1321831589
0.11,50135.11631959203
0.12,50069.93934553
0.13,50006.35275150872
0.14,49944.16355973454
0.15,49883.223781346634
0.16,49823.399393159096
0.17,49764.595946021545
0.18,49706.72867396334
0.19,49649.73188674308
0.2,49593.556568222455
0.21,49538.15915721515
0.22,49483.51235774281
0.23,49429.59304872559
0.24,49376.38659753746
0.25,49323.886026042026
0.26,49272.08685338545
0.27,49220.992322102145
0.28,49170.6075886271
0.29,49120.94175711948
0.3,49072.00740979501
0.31,49023.818130798674
0.32,48976.39065199074
0.33,48929.74232797672
0.34,48883.8916798786
0.35000000000000003,48838.85805082453
0.36,48794.66079539007
0.37,48751.31924566045
0.38,48708.852484906674
0.39,48667.278768875316
0.4,48626.615304587285
0.41000000000000003,48586.87864025233
0.42,48548.08310423391
0.43,48510.24223915549
0.44,48473.36748685157
0.45,48437.468128300585
0.46,48402.55244347398
0.47000000000000003,48368.62535964832
0.48,48335.69081897101
0.49,48303.75018199139
0.5,48272.802328331425
0.51,48242.845113791926
0.52,48213.872964751754
0.53,48185.87941207557
0.54,48158.855629847225
0.55,48132.79064457757
0.56,48107.67267118164
0.5700000000000001,48083.487198979674
0.58,48060.21908792118
0.59,48037.851508504486
0.6,48016.36618480559
0.61,47995.74434875882
0.62,47975.96556760636
0.63,47957.00909535826
0.64,47938.853296738554
0.65,47921.47586226873
0.66,47904.85430348182
0.67,47888.96550868765
0.68,47873.78632713935
0.6900000000000001,47859.29342096476
0.7000000000000001,47845.46342081955
0.71,47832.27301935779
0.72,47819.69908947482
0.73,47807.71865581582
0.74,47796.309052629585
0.75,47785.44801591766
0.76,47775.11349414569
0.77,47765.28412024523
0.78,47755.93878455809
0.79,47747.05697019734
0.8,47738.618794271606
0.81,47730.604656219075
0.8200000000000001,47722.995891935505
0.8300000000000001,47715.7741314607
0.84,47708.921731815666
0.85,47702.42190927447
0.86,47696.25793954068
0.87,47690.41548730314
0.88,47684.8801726722
0.89,47679.6413018008
0.9,47674.709990663454
0.91,47670.063260482704
0.92,47665.879149048575
0.93,47662.29619518183
0.9400000000000001,47659.88635543094
0.9500000000000001,47662.13054064527
0.96,47675.35173778031
0.97,47718.11960749136
0.98,47824.49800047978
0.99,48001.23664002897
1.0,48180.134775935905
