Position,Nl_H2O,Nv_H2O,kv_H2O,a_eA,DF_H2O,fv_H2O,fl_H2O,P_sat_H2O
0.0,-5.868477845286558,5.868477845286558,3.481879797455913e-05,72.9789022450182,-2309.4808677079727,8955.631130398731,11265.111998106704,12852.986711424508
0.01,-4.926354275180646,4.926354275180646,3.5241508866829184e-05,73.06222815881756,-1913.2786860326614,10542.577403618288,12455.85608965095,14196.631342667397
0.02,-4.252578263652791,4.252578263652791,3.5584845225541416e-05,73.13182489394693,-1634.1082518733783,11857.53922642291,13491.647478296289,15363.793149466277
0.03,-3.7516974243621646,3.7516974243621646,3.5874226452022175e-05,73.19174326154122,-1428.838582037737,12983.156347887283,14411.99492992502,16399.58178738598
0.04,-3.3675900099936693,3.3675900099936693,3.612450053380592e-05,73.24444476792125,-1272.7487236792294,13969.434441293959,15242.183164973188,17332.84804673765
0.05,-3.0637059307749146,3.0637059307749146,3.634443510308741e-05,73.2914110414904,-1150.1542040565382,14846.762416847461,15996.916620904,18180.38915099979
0.06,-2.820791161115143,2.820791161115143,3.6541610250986714e-05,73.33397233268326,-1052.6355730176438,15640.453118993108,16693.08869201075,18961.418168230404
0.07,-2.6216968306168087,2.6216968306168087,3.672024763612949e-05,73.37288578660875,-973.0636904204948,16365.942926982247,17339.00661740274,19685.405878971043
0.08,-2.456680943608953,2.456680943608953,3.6884028001660955e-05,73.40882391155988,-907.3234755865997,17036.121302435564,17943.444778022164,20362.325553875
0.09,-2.3182044817272915,2.3182044817272915,3.703559969162822e-05,73.44228050270748,-852.287670598078,17660.568285304016,18512.855955902094,20999.51018714046
0.1,-2.2001541295949063,2.2001541295949063,3.7176841925026255e-05,73.47360920733828,-805.4697542809408,18246.24085888343,19051.71061316437,21602.043575092386
0.11,-2.0989031919266643,2.0989031919266643,3.730944455472456e-05,73.50313312956777,-765.3635456008997,18799.242109834526,19564.605655435425,22175.141744252258
0.12,-2.0108137447180527,2.0108137447180527,3.743454749659919e-05,73.53107147996144,-730.5136962882243,19323.871824665326,20054.38552095355,22722.038369577866
0.13,-1.9335662283391446,1.9335662283391446,3.7553172562128376e-05,73.5576227332726,-699.9785537339667,19823.892063352934,20523.8706170869,23245.934308669228
0.14,-1.8652516724940402,1.8652516724940402,3.7666128268774144e-05,73.58294505061673,-672.9910539570337,20302.309620952325,20975.30067490936,23749.372087882937
0.15,-1.8041706613172912,1.8041706613172912,3.777404021787582e-05,73.60716118855017,-648.8795829362862,20761.477822409808,21410.357405346094,24234.2627754216
