Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.0,323.89682507938653,-83999.99999,-53656.27694497099,-48051.18729804647,-50292.58432806411,88.99741990399325,-4475910.245501712,-57853.721355524,281987.32809830055,-3185.117214187548,-50707.39285073453,-53892.510064922084,53892.510064922084,227.35413736300723,82.4435276072661
0.01,325.9289812993367,-83999.99999,-53306.48510925775,-47898.16500139987,-50101.882420896814,89.28062480042894,-4473127.366215295,-53340.268931360486,235963.32992795427,-3219.9232950907463,-36191.622508562585,-39411.54580365333,39411.54580365333,180.82920966717643,82.51751013301126
0.02,327.5647308443585,-83999.99999,-53024.17400177499,-47774.97746036746,-49946.14869906105,89.5178099805182,-4471069.848501253,-49999.036674527924,203166.83069446066,-3092.945920630807,-27050.357194492717,-30143.303115123523,30143.303115123523,148.78104553666694,82.58153516435542
0.03,328.92969878991113,-83999.99999,-52788.08156425404,-47672.17056825466,-49814.39994057566,89.72232014028982,-4469463.539064764,-47433.66857162148,178851.5595346748,-2921.9798881616134,-21004.534039139187,-23926.513927300803,23926.513927300803,125.70828534043946,82.63850806239779
0.04,330.09790762756444,-83999.99999,-52585.64860308876,-47584.17372289203,-49700.14261843669,89.90239805081643,-4468162.004865041,-45411.87868023987,160243.98806301446,-2748.0837366215824,-16901.551163079537,-19649.63489970112,19649.63489970112,108.5398734496612,82.69019131929944
0.05,331.11320282023166,-83999.99999,-52409.43318097861,-47507.687574241005,-49599.512483885774,90.06301139020837,-4467081.457784987,-43799.30514263811,145549.5841786039,-2583.20449121337,-14094.238277237182,-16677.442768450554,16677.442768450554,95.3575103765187,82.73766444265357
0.06,332.01370168373813,-83999.99999,-52252.92352709236,-47439.84306186424,-49509.1454391539,90.20856043427592,-4466148.73839727,-42480.83579023541,133817.88999359618,-2437.1533033227574,-12041.22903240945,-14478.382335732207,14478.382335732207,85.01919686329647,82.78192629379853
0.07,332.8206377934465,-83999.99999,-52112.50069665217,-47379.0422506281,-49427.15752945561,90.34167379667151,-4465332.142222775,-41393.770470367,124213.48490613156,-2307.1226802214233,-10536.726141670733,-12843.848821892156,12843.848821892156,76.71070615686857,82.82352122600733
0.08,333.55256779521574,-83999.99999,-51984.98739078463,-47323.88834652677,-49351.89969119236,90.46463081645894,-4464601.385654631,-40484.242212152545,116259.69467839014,-2193.0884864967416,-9382.906301218793,-11575.994787715534,11575.994787715534,69.9168948929431,82.86295327075399
0.09,334.2228507306852,-83999.99999,-51868.09443475425,-47273.37577700241,-49282.18196435702,90.57914540455216,-4463937.926003093,-39713.91510585946,109589.35159262537,-2093.246961698348,-8475.01694406947,-10568.263905767817,10568.263905767817,64.27727802285403,82.90058479962156
0.1,334.8409508777374,-83999.99999,-51760.20043692465,-47226.79217732624,-49217.15850943795,90.68645339377231,-4463329.551340049,-39056.1691817741,103906.22183646476,-2004.959386688629,-7748.229871900541,-9753.18925858917,9753.18925858917,59.51410534287614,82.93667569000354
0.11,335.41539833461286,-83999.99999,-51659.839033508666,-47183.495366124866,-49156.06659897245,90.78767750227416,-4462765.121667822,-38487.0139904694,99033.58903021645,-1927.268685816276,-7147.5705395454615,-9074.839225361738,9074.839225361738,55.454707538921866,82.97146648239382
0.12,335.95193349835563,-83999.99999,-51566.02521765399,-47143.053250806115,-49098.39201282736,90.88359382592095,-4462238.317199644,-37990.475552089345,94795.89944469601,-1858.0100311519354,-6646.657785134073,-8504.667816286008,8504.667816286008,51.944693544505505,83.00511651975673
0.13,336.45571017256844,-83999.99999,-51477.87233444231,-47105.07782969251,-49043.67265461613,90.97489743063606,-4461743.089375393,-37552.194568904844,91080.78767478041,-1796.0849314807563,-6220.151258554287,-8016.236190035043,8016.236190035043,48.88161590050044,83.03777298238849
0.14,336.93080847805226,-83999.99999,-51394.67826310391,-47069.26193406323,-48991.54295777102,91.06214642316766,-4461275.058317453,-37160.714949746165,87796.0195455715,-1740.4157304422863,-5852.4158332121015,-7592.8315636543875,7592.8315636543875,46.185366252655704,83.06955128859738
