Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.0,316.75,704.1410379785631,625.3893654276433,541.9942263721795,549.6539462573205,563.2941633443093,20.39623552162238,11489.08042352576,-484.9664215023956,3670.0836356899435,3185.117214187548,50707.39285073453,53892.510064922084,53892.510064922084,491.02821909827213,30.378481560091917
0.01,320.8959667782851,864.4982940164365,765.044953937958,662.9345091541669,672.9582959854109,690.1726790593005,20.67944041805806,14272.384794778314,-548.9591844468937,3768.88247953764,3219.9232950907463,36191.622508562585,39411.54580365333,39411.54580365333,344.8069248457894,30.454013917109872
0.02,323.8426026526478,979.1695316726962,864.363562623365,748.9200117954053,760.7573868539041,780.705761891054,20.91662559814732,16329.730123791525,-582.8277776748032,3675.77369830561,3092.945920630807,27050.357194492717,30143.303115123523,30143.303115123523,254.3322048391578,30.50923201824513
0.03,326.06462629211006,1066.0177202956568,939.2936949887704,813.7777138819404,827.0537844582269,849.1912524539686,21.121135757918932,17935.883727517477,-601.9658480473771,3523.9457362089906,2921.9798881616134,21004.534039139187,23926.513927300803,23926.513927300803,195.30356228253117,30.551804704390204
0.04,327.80954234232627,1134.4405157157792,998.1566162686283,864.719739309412,879.1674818031164,903.1119279743468,21.30121366844555,19237.38014430337,-613.2985127337347,3361.382249355317,2748.0837366215824,16901.551163079537,19649.63489970112,19649.63489970112,155.65148518454248,30.585824843386938
0.05,329.2171435811028,1189.7768888699347,1045.654636937766,905.8207587176935,921.2400635035018,946.7041261196256,21.461827007837503,20318.00018238538,-620.3738215151537,3203.578312728524,2583.20449121337,14094.238277237182,16677.442768450554,16677.442768450554,128.7097831631122,30.613614649624605
0.06,330.4030122722557,1236.49272753784,1085.6803881818316,940.4520486154929,956.7079055208486,983.4906001210131,21.60737605190505,21250.651240328505,-625.3243394566103,3062.4776427793677,2437.1533033227574,12041.22903240945,14478.382335732207,14478.382335732207,109.13736719194324,30.637023118169573
0.07,331.41835786958353,1276.560368564073,1119.9578344787774,970.1069477932917,987.0920188518176,1015.0316285967374,21.740489414300637,22067.284376687705,-629.0672248560518,2936.189905077475,2307.1226802214233,10536.726141670733,12843.848821892156,12843.848821892156,94.85451558823426,30.656997317054845
0.08,332.3096060544526,1311.7831728153135,1150.0513730837986,996.1400064673335,1013.7749178562581,1042.747426565615,21.86344643408806,22798.052505000494,-632.220805929537,2825.3092924262787,2193.0884864967416,9382.906301218793,11575.994787715534,11575.994787715534,83.94499720924433,30.674337239524316
0.09,333.10491199992913,1343.2552664946777,1176.909770595227,1019.3727154146782,1037.595143849794,1067.5007612835252,21.977961022181294,23461.490122638173,-635.0705430841458,2728.317504782494,2093.246961698348,8475.01694406947,10568.263905767817,10568.263905767817,75.38996322962186,30.68957648383522
