Position,rho_mol_v,rho_mass_v,muv_CO2,muv_H2O,muv_N2,muv_O2,muv_mix,Dv_CO2,Dv_H2O,Cpv_CO2,Cpv_H2O,Cpv_N2,Cpv_O2,kt_vap
0.0,41.57797277796757,1.201145390618538,1.5851514504197067e-05,1.0475946160527282e-05,1.8539428576051584e-05,2.151290318191254e-05,1.782508473311079e-05,1.709402081449419e-05,2.6033002969609218e-05,38.536002353385804,33.672649343993996,29.164648512415376,29.70776953064372,0.02528738443555927
0.01,41.0407865503669,1.1774721300364324,1.604570623169116e-05,1.0628894878748129e-05,1.872313921770771e-05,2.1733600997325355e-05,1.7902575995585672e-05,1.754898919851914e-05,2.6644066956938598e-05,38.81818150286701,33.69688975719661,29.176579941111434,29.773507273958895,0.02552239562976181
0.02,40.667357443230294,1.159976465196445,1.6183217199501383e-05,1.073773704964284e-05,1.8852993262886634e-05,2.1889632831672447e-05,1.7943953232474434e-05,1.788368092210358e-05,2.7084916236998473e-05,39.013015176573944,33.71471594614642,29.18525755968321,29.819106840781288,0.025683364308957415
0.03,40.3902227211327,1.1462365562441885,1.6286635842336885e-05,1.0819888808531268e-05,1.895052726019508e-05,2.2006847165180037e-05,1.7965517728870268e-05,1.814371024000529e-05,2.7421739431274437e-05,39.1569140819489,33.728474602822374,29.19190575814211,29.85289985878918,0.02580066105448146
0.04,40.175227308264844,1.1349926053437926,1.6367682374829518e-05,1.088444614869024e-05,1.9026887532389013e-05,2.2098626035587246e-05,1.7975188072179016e-05,1.835346744881721e-05,2.7689465701432355e-05,39.26814452206512,33.73946422931734,29.197187693050317,29.879089487914186,0.025889797159263483
0.05,40.00345405517084,1.1255348814438435,1.6432955204423803e-05,1.0936552436010779e-05,1.908833900071749e-05,2.2172492472558997e-05,1.7977258900661798e-05,1.852693703615317e-05,2.7907985556329234e-05,39.35676209503029,33.74844556507865,29.201486957092946,29.899998429667257,0.02595945370132779
0.06,39.85987532876713,1.117302214316992,1.6487872350871403e-05,1.0980470498544323e-05,1.9140008733333897e-05,2.22346055970176e-05,1.797519475715328e-05,1.867598119669536e-05,2.8094034834830542e-05,39.43066390233853,33.75609120645333,29.20513512504318,29.917465309564786,0.026016853678903964
0.07,39.73775913343849,1.1100211615836346,1.6534839256348666e-05,1.1018087682180468e-05,1.9184175079884545e-05,2.2287702084802915e-05,1.797024599668939e-05,1.880596802826635e-05,2.8254997278849526e-05,39.49339730880652,33.762694078923914,29.20827742631521,29.93231425862521,0.02606497529897168
0.08,39.63118320227916,1.1034573806221122,1.6576025253766504e-05,1.1051118111818335e-05,1.9222887677734978e-05,2.233424461426461e-05,1.796360161751762e-05,1.8921817581681424e-05,2.8397656914384346e-05,39.548056633767914,33.76853246798344,29.21104972984192,29.94526855058221,0.026106598342628375
0.09,39.53656161463037,1.0974603917219596,1.66127456572762e-05,1.1080601412624056e-05,1.925738910713194e-05,2.2375726192744462e-05,1.795585754195981e-05,1.9026584017330133e-05,2.852613434737118e-05,39.596514362506554,33.77377556908686,29.213534575528882,29.956766018111363,0.026143320693415316
0.1,39.45152805066468,1.0919276221339822,1.66458695976662e-05,1.11072247517382e-05,1.928850033358433e-05,2.2413133256787997e-05,1.794736442459486e-05,1.9122310734525968e-05,2.8643156593301233e-05,39.64000540894754,33.77853548539108,29.215786607821787,29.96709551413032,0.026176170043644885
0.11,39.37405945679266,1.086771364463802,1.6676149765013834e-05,1.1131585409429173e-05,1.9316931435609176e-05,2.2447319134025843e-05,1.7938417176851952e-05,1.921079415953856e-05,2.875110946954998e-05,39.67958092871187,33.78291178580622,29.217854013125717,29.97650370996712,0.02620603996518809
0.12,39.30295882353685,1.0819360151499662,1.6704027806897936e-05,1.1154032976391664e-05,1.9343099402849475e-05,2.2478784887505688e-05,1.792913979726015e-05,1.929310681596201e-05,2.8851384840810534e-05,39.715864529567256,33.786961950820704,29.219764737076932,29.98513663882065,0.026233416885594014
0.13,39.23714657327573,1.0773723299708098,1.672990678933641e-05,1.1174887583073848e-05,1.9367384355672312e-05,2.250798734027659e-05,1.791965546883393e-05,1.9370233033492103e-05,2.894526482378567e-05,39.74941640283596,33.79073965709427,29.221544707137987,29.993125877414887,0.026258757054999825
0.14,39.175841765622245,1.0730432995136134,1.675407801632823e-05,1.1194380521947846e-05,1.9390061040084034e-05,2.2535256674533448e-05,1.7910032926563985e-05,1.9442894922256388e-05,2.9033675490869882e-05,39.78064186581819,33.794283631123996,29.22321263816856,30.000566604639122,0.026282375517021672
0.15,39.118451980580915,1.068920445102574,1.677676238832406e-05,1.1212687157383614e-05,1.941133780866649e-05,2.2560843281571238e-05,1.7900319510060704e-05,1.9511642435656963e-05,2.911731856317215e-05,39.80984840283658,33.79762321914394,29.224782714557513,30.007531019380313,0.026304507799658875
0.16,39.06444710473443,1.0649783578542662,1.6798159120513018e-05,1.1229965990936066e-05,1.9431402417683856e-05,2.258497282101991e-05,1.7890557033078727e-05,1.9576975805617445e-05,2.919683074124245e-05,39.83731044049505,33.80078527927652,29.22626786480541,30.014083687131595,0.026325367179028867
0.17,39.0134532375004,1.0611985206372045,1.6818407820196003e-05,1.1246327883951329e-05,1.945038652770486e-05,2.2607803520667296e-05,1.788076709150008e-05,1.9639247660824248e-05,2.9272655048191874e-05,39.863221929066825,33.803788405978835,29.22767706977082,30.02027016459806,0.026345096282313272
0.18,38.965126832741184,1.0575641854254607,1.6837637727670576e-05,1.1261875686760647e-05,1.946841193316167e-05,2.262948176399946e-05,1.7870972653096418e-05,1.9698785127956335e-05,2.9345203866781513e-05,39.88776062859809,33.80665005790178,29.229018728625267,30.026132285956628,0.026363830182851548
0.19,38.91919453358629,1.0540618064168623,1.6855951539042425e-05,1.1276691089678787e-05,1.948557542665651e-05,2.2650123883230607e-05,1.786118839526664e-05,1.9755849801858246e-05,2.941480368950315e-05,39.911068033695614,33.80938407293903,29.230299503208613,30.031703339269637,0.02638167297968131
0.2,38.87543366004017,1.0506803667977462,1.687343281558908e-05,1.1290840536477943e-05,1.9501955775035232e-05,2.2669824544676517e-05,1.7851426599644667e-05,1.981065405204812e-05,2.948171898550495e-05,39.93325944192527,33.81200168643843,29.231524805601893,30.037010441653443,0.026398709027135602
0.21,38.833639915450625,1.047409833398396,1.689015864412303e-05,1.1304385419857617e-05,1.9517625603179588e-05,2.2688671038440567e-05,1.7841698852225286e-05,1.9863394718814226e-05,2.954619446553318e-05,39.95444043881112,33.81451337009467,29.232699665736884,30.042078461300342,0.026415016505862098
0.22,38.79365672108839,1.0442424609454577,1.6906187733768988e-05,1.131737240680834e-05,1.9532640256409087e-05,2.2706729880930928e-05,1.78320130924871e-05,1.9914221241401717e-05,2.960841407449251e-05,39.9746921055012,33.816927005803905,29.233827881833253,30.046926464181524,0.026430653071036595
0.23,38.75533826380387,1.0411711647602722,1.6921575051588815e-05,1.1329845257580035e-05,1.954705152526617e-05,2.2724063320120297e-05,1.7822378167031886e-05,1.996327347778977e-05,2.9668550389989276e-05,39.99408981457236,33.819250047374936,29.23491303587195,30.051572198399242,0.026445673792790586
0.24,38.718562941715795,1.0381900433417544,1.693636633477558e-05,1.1341840358358588e-05,1.95609025134176e-05,2.2740723161725353e-05,1.7812801071795688e-05,2.0010667741545755e-05,2.9726745577898566e-05,40.012696463812816,33.82148867117884,29.235958099326197,30.056030466148584,0.026460123403653897
0.25,38.68322791414935,1.0352941909589497,1.6950600178343244e-05,1.135338839148949e-05,1.9574229601615717e-05,2.2756753130160104e-05,1.7803288714232255e-05,2.0056501378569893e-05,2.9783118196515945e-05,40.03056527991755,33.8236480675708,29.236965572115043,30.06031378664063,0.026474039605287943
0.26,38.64923746087774,1.0324791023432498,1.6964312651909352e-05,1.1364518065376426e-05,1.9587066776595132e-05,2.2772194074492735e-05,1.7793847968591476e-05,2.0100865521616777e-05,2.9837778926298535e-05,40.047745737406935,33.825733124292015,29.237937803457786,30.06443380876792,0.02648745779008673
0.27,38.616514764891306,1.0297412268927446,1.697753249400725e-05,1.1375252202668909e-05,1.9599441136624727e-05,2.2787078561747162e-05,1.7784484896789602e-05,2.014383191079915e-05,2.9890813750603092e-05,40.06427762640695,33.82774768348286,29.238876646877333,30.06839988405975,0.026500405392011765
0.28,38.58498759005076,1.0270773038544672,1.699028683930946e-05,1.1385612377662175e-05,1.9611378257506168e-05,2.280143733066808e-05,1.777520607292083e-05,2.0185468100960128e-05,2.9942303650507667e-05,40.08019831424323,33.82969540064714,29.23978386212454,30.072220803767273,0.026512908790678625
0.29,38.55459389336359,1.024484588520797,1.700259891702654e-05,1.1395617040049727e-05,1.962290004110812e-05,2.2815296703413443e-05,1.776601752505288e-05,2.0225831518069467e-05,2.9992316514146374e-05,40.09553992532306,33.83157938589101,29.240660948929936,30.07590411938891,0.026524990072024975
0.3,38.52527980018402,1.021960781460055,1.7014488833735867e-05,1.1405282142849208e-05,1.9634025451149386e-05,2.282867947016015e-05,1.775692542402359e-05,2.0264971176501196e-05,3.00409097417045e-05,40.11033037951215,33.833402314980326,29.241509199727986,30.079456388794075,0.026536668330323678
0.31,38.496994616246134,1.0195037645669567,1.7025975569527174e-05,1.1414622759157966e-05,1.964477238330227e-05,2.284160713832416e-05,1.7747935968421902e-05,2.0302933320372572e-05,3.008813715847886e-05,40.124595920688904,33.83516672908915,29.24232983987278,30.082883781217582,0.02654796166546146
0.32,38.469696104164356,1.017111846594504,1.7037074815013894e-05,1.1423651318922185e-05,1.9655155643232407e-05,2.2854097500064573e-05,1.77390550393359e-05,2.0339755460325193e-05,3.0134041413500253e-05,40.13835846449161,33.836874697855244,29.243123871471855,30.08619143831936,0.026558884644704402
