Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.0,0.6564693102356044,-0.6564693102356044,2.6339499201063993e-05,72.97770192656112,8139.279012631203,9414.20335906203,1274.9243464308274,100.4991723023601,2294.6451646094656
0.01,0.6044525133071188,-0.6044525133071188,2.670545950543804e-05,73.05900464894336,7677.184379332235,9097.031142802713,1419.8467634704778,99.50386895805013,2366.2717663019043
0.02,0.5659269578747224,-0.5659269578747224,2.7003652675136947e-05,73.12690356811001,7284.949850177422,8818.326660581824,1533.3768104044022,99.32106043643516,2425.3641152475266
0.03,0.5363162570634614,-0.5363162570634614,2.7255387686361478e-05,73.18533531196714,6944.9604066086495,8567.422676019796,1622.4622694111467,99.71067833294241,2475.8211077032465
0.04,0.5129465062836374,-0.5129465062836374,2.7473238514657893e-05,73.2366993765998,6645.596509643097,8337.602290520237,1692.0057808771394,100.52645132257737,2519.9536423437394
0.05,0.4942669666942593,-0.4942669666942593,2.7664684486755756e-05,73.28244553734233,6379.418408857985,8124.538706211575,1745.1202973535903,101.68870493097222,2559.1459781178246
0.06,0.47896316389582355,-0.47896316389582355,2.7836203058808845e-05,73.3238749499185,6139.209951778596,7924.53191831397,1785.3219665353733,103.11697583313105,2594.597259382432
0.07,0.46631582304812047,-0.46631582304812047,2.7991450687689957e-05,73.3617302428603,5920.754909430921,7735.3260622277685,1814.5711527968479,104.77325825960506,2626.9855617526973
0.08,0.4557109760063618,-0.4557109760063618,2.813361128988379e-05,73.39667142973393,5720.140791855955,7554.971038080204,1834.8302462242493,106.62137169885578,2656.903277335704
0.09,0.4467128398920085,-0.4467128398920085,2.8264991345948212e-05,73.42918346149419,5534.424990334802,7382.028181947218,1847.6031916124166,108.63602156578831,2684.7790911551333
0.1,0.43901886311159527,-0.43901886311159527,2.8387235717601394e-05,73.4596143702063,5361.4284670190555,7215.42708519741,1853.9986181783538,110.80132376543136,2710.9194297340478
0.11,0.43235812123175726,-0.43235812123175726,2.8501823525473608e-05,73.48828216464513,5199.143977258287,7054.227073918799,1855.0830966605115,113.10140200858531,2735.6001626600623
0.12,0.4265505136995913,-0.4265505136995913,2.8609759743630854e-05,73.51540305959352,5046.158191439084,6897.760470434103,1851.6022789950193,115.52734100757596,2759.0084656703852
0.13,0.4214349295058593,-0.4214349295058593,2.8711944925649062e-05,73.5411730196716,4901.1854678255295,6745.435245524865,1844.2497776993362,118.07062100937407,2781.312602217274
0.14,0.4168835247248963,-0.4168835247248963,2.8809094304368647e-05,73.56574841129007,4763.183289622399,6596.781108290786,1833.5978186683872,120.72467811996763,2802.6459590134405
0.15,0.41279735735620826,-0.41279735735620826,2.890176373770779e-05,73.58925095989201,4631.318648687318,6451.424717730983,1820.1060690436645,123.48502816557108,2823.1122847593974
0.16,0.40908407399205476,-0.40908407399205476,2.8990465561340756e-05,73.61179395576706,4504.824811172947,6309.031317785214,1804.2065066122666,126.34697107320036,2842.8072819132967
0.17,0.40567427822368096,-0.40567427822368096,2.9075580889686083e-05,73.6334614501286,4383.111789148385,6169.3491761540145,1786.2373870056294,129.3074654612244,2861.801890349149
0.18,0.4025036615809306,-0.4025036615809306,2.9157457923672375e-05,73.65433085469108,4265.6418084281795,6032.1524928701,1766.5106844419206,132.36345548922145,2880.1610690183697
0.19,0.39951730498945265,-0.39951730498945265,2.9236386783879728e-05,73.67446679885029,4151.961763595902,5897.258153314176,1745.2963897182733,135.51224195074553,2897.938733359242
0.2,0.39666938582942646,-0.39666938582942646,2.931260334090175e-05,73.69392186470284,4041.695915179207,5764.5193142113485,1722.8233990321417,138.75163275237531,2915.178623751645
