Position,rho_mol_l,rho_mass_l,V_l,V_CO2,V_MEA,V_H2O,mul_mix,sigma,Dl_CO2,Dl_MEA,Dl_ion,Cpl_CO2,Cpl_MEA,Cpl_H2O
0.0,43154.96174362912,1031.5250665389115,2.3172306487970133e-05,2.610553509618944e-05,5.9920904781512816e-05,1.8262988827348798e-05,0.004851375043871238,0.06693099040970846,2.439183281128964e-09,1.3365650174520374e-09,2.7935069592962136e-10,165.5852731182508,171.84554601269335,75.29557561675945
0.01,43145.50901935036,1030.0376504708122,2.317738329501477e-05,2.6077061574233147e-05,6.0017287553658366e-05,1.8279980907127644e-05,0.004523847358256216,0.06651135386438659,2.5469678724945763e-09,1.394977623315166e-09,2.989568661457465e-10,165.76267523402075,172.34447987384775,75.30445749546833
0.02,43138.8331971314,1028.7850015527004,2.318097004224252e-05,2.605324042982227e-05,6.009519988608668e-05,1.8294039453495712e-05,0.004273161831887862,0.06616027620093748,2.6363048501877634e-09,1.4433812101617343e-09,3.158486230515004e-10,165.90984379754522,172.74769834198406,75.31301375433668
0.03,43134.0038408106,1027.6967751646866,2.3183565423014705e-05,2.6032731485812478e-05,6.016041067522077e-05,1.830602920440158e-05,0.0040718452973173965,0.06585729080871051,2.7126206062046225e-09,1.4847224763813674e-09,3.30795158348622e-10,166.03568041574908,173.0851762800105,75.32109779304758
0.04,43130.49332393982,1026.7305767034513,2.3185452401142473e-05,2.6014702534048306e-05,6.021634148615162e-05,1.831647600630312e-05,0.003904645283463423,0.0655900722102265,2.779215652319492e-09,1.5207929547841908e-09,3.4427132926627376e-10,166.14562173453524,173.37467470704686,75.32868851779895
0.05,43128.004186775,1025.860826933275,2.318679055189494e-05,2.59986489308692e-05,6.026502625671551e-05,1.8325693885648716e-05,0.003762621280939494,0.06535113989021957,2.8380585833161248e-09,1.5526610667903644e-09,3.56559446141944e-10,166.2429406207368,173.6267570065741,75.3357828991194
0.06,43126.24362215586,1025.064485619803,2.3187737118060885e-05,2.5984125297193736e-05,6.030825700338329e-05,1.8333976633571224e-05,0.003639085557771924,0.06513386282930418,2.8909976484371317e-09,1.5813293026387049e-09,3.679416115919134e-10,166.33061523566786,173.85068246841956,75.34245757564291
0.07,43125.080706484914,1024.328692603008,2.3188362401131123e-05,2.59708641144245e-05,6.0347027839003906e-05,1.8341484092318094e-05,0.003530082473900557,0.06493449837771871,2.9390373230140806e-09,1.6073424691215882e-09,3.785666518233921e-10,166.41032179455834,174.0516061113247,75.3487411699224
0.08,43124.38434097783,1023.6418841011799,2.3188736843015655e-05,2.59586338010671e-05,6.038221683900943e-05,1.8348363346929968e-05,0.0034325064256701936,0.06474972135687022,2.9831041963049402e-09,1.6312029659366776e-09,3.8857848884041863e-10,166.4835645233936,174.23406339481048,75.35468579937483
0.09,43124.06696029848,1022.9956625490347,2.3188907505422317e-05,2.5947260172511787e-05,6.0414457026811186e-05,1.8354721253814036e-05,0.0033441564209455384,0.064577117822958,3.023872124741554e-09,1.6532760946176783e-09,3.980822007612385e-10,166.55144530369026,174.40132466963675,75.36033271254556
