Position,kl_CO2,kv_CO2,kv_H2O,ul,uv,h_L,h_V,a_e,UT,P,Clp,Cvp,eps,a_p,A,Lp,d_h
0.0,2.682241632952938e-05,2.6339499201063993e-05,3.486536421488318e-05,0.006409862452360344,1.5248842485563967,0.06132483400969324,0.9086751659903067,226.8508202558425,97.35118328410718,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.01,2.7753879020752302e-05,2.670545950543804e-05,3.527919902456416e-05,0.006431206084161705,1.5654924301032687,0.06060411678975344,0.9093958832102466,227.10354936041205,98.52752465391528,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.02,2.8526343758552424e-05,2.7003652675136947e-05,3.561537485733816e-05,0.006448910979245546,1.597346774185916,0.060024041187633076,0.9099759588123669,227.3146128099427,99.46258104003769,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.03,2.9187604289787484e-05,2.7255387686361478e-05,3.589865917262432e-05,0.006464039991077375,1.623497386798889,0.05953798774935865,0.9104620122506413,227.4962475925275,100.23716440862792,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.04,2.9766473073818698e-05,2.7473238514657893e-05,3.614354858561365e-05,0.0064772468184642815,1.6456402866401372,0.059119098120096095,0.9108809018799039,227.65591252970682,100.89721490467633,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.05,3.0280162139430705e-05,2.7664684486755756e-05,3.635863037250469e-05,0.006488924456390061,1.6647613363661729,0.05875135022995455,0.9112486497700454,227.79811424083277,101.46963880493074,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.06,3.0744373381107014e-05,2.7836203058808845e-05,3.65513304802515e-05,0.006499425979681015,1.6817199404013325,0.058421784242291386,0.9115782157577086,227.92689736194396,101.97777629322789,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.07,3.1167768471721724e-05,2.7991450687689957e-05,3.67257933008133e-05,0.006508956436902102,1.6969412739990546,0.058122916326211346,0.9118770836737886,228.04457035010566,102.43388144563282,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.08,3.155818334355091e-05,2.813361128988379e-05,3.6885635885008653e-05,0.00651769657720506,1.7108118628848241,0.05784851145812321,0.9121514885418768,228.15318485417666,102.84885644838417,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.09,3.192130925215835e-05,2.8264991345948212e-05,3.7033462377182274e-05,0.00652578081065926,1.7235907866768962,0.05759410885311514,0.9124058911468849,228.2542483417666,103.23027925054122,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
0.1,3.2261187905896445e-05,2.8387235717601394e-05,3.717112428784675e-05,0.006533305507496625,1.735457042066933,0.05735650951259766,0.9126434904874023,228.3488426688039,103.58346206189206,109500.0,0.203,0.35,0.97,250.0,0.3216990877275948,82.91213601226671,0.015519999999999999
