legacy_case_id,appendix_style_case_id,appendix_case_source,case_group,lean_solvent_flow_kg_hr,lean_solvent_flow_kg_s,lean_solvent_temperature_C,lean_solvent_temperature_K,lean_loading_mol_co2_per_mol_mea,lean_mea_weight_fraction,gas_flow_kg_hr,gas_flow_kg_s,gas_temperature_C,gas_temperature_K,inlet_co2_mol_percent,inlet_co2_mole_fraction,pressure_kPa,pressure_Pa,beds,intercoolers,source_table,capture_liquid_side_pct,capture_gas_side_pct,morgan_original_model_capture_pct,morgan_uncertainty_model_capture_pct,capture_source_table,L,G,alpha,w_MEA,y_CO2,Tl,Tv,P,package_capture_gas_side_pct
K1,1A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,6804.0,1.89,40.97,314.12,0.145,0.298,2248.0,0.6244444444444445,42.48,315.63,11.55,0.1155,108.82,108820.0,3,2,Morgan et al. 2018 Supporting Information Table S1,89.45,99.91,99.96,99.95,Morgan et al. 2018 Supporting Information Table S3,1.89,0.6244,0.145,0.298,0.1155,314.12,315.63,108820,99.91
K2,2A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,11794.0,3.276111111111111,40.52,313.66999999999996,0.247,0.312,2243.0,0.6230555555555556,44.94,318.09,11.4,0.114,107.06,107060.0,3,2,Morgan et al. 2018 Supporting Information Table S1,93.26,99.49,99.84,99.78,Morgan et al. 2018 Supporting Information Table S3,3.276,0.6231,0.247,0.312,0.114,313.67,318.09,107060,99.49
K3,3A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,3175.0,0.8819444444444444,45.68,318.83,0.091,0.295,2242.0,0.6227777777777778,43.67,316.82,10.58,0.1058,107.78,107780.0,3,2,Morgan et al. 2018 Supporting Information Table S1,72.9,83.57,77.33,76.46,Morgan et al. 2018 Supporting Information Table S3,0.882,0.6228,0.091,0.295,0.1058,318.83,316.82,107780,83.57
K4,4A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,3175.0,0.8819444444444444,46.72,319.87,0.083,0.31,2243.0,0.6230555555555556,44.73,317.88,11.45,0.11449999999999999,107.65,107650.0,3,2,Morgan et al. 2018 Supporting Information Table S1,70.86,78.1,76.5,75.72,Morgan et al. 2018 Supporting Information Table S3,0.882,0.6231,0.083,0.31,0.1145,319.87,317.88,107650,78.1
K5,5A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,6804.0,1.89,41.57,314.71999999999997,0.108,0.306,2235.0,0.6208333333333333,43.78,316.92999999999995,9.19,0.0919,106.94,106940.0,3,2,Morgan et al. 2018 Supporting Information Table S1,90.69,99.53,99.98,99.98,Morgan et al. 2018 Supporting Information Table S3,1.89,0.6208,0.108,0.306,0.0919,314.72,316.93,106940,99.53
K6,6A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,6804.0,1.89,40.87,314.02,0.347,0.307,2237.0,0.6213888888888889,42.18,315.33,9.12,0.09119999999999999,107.1,107100.0,3,2,Morgan et al. 2018 Supporting Information Table S1,58.89,59.03,68.16,60.59,Morgan et al. 2018 Supporting Information Table S3,1.89,0.6214,0.347,0.307,0.0912,314.02,315.33,107100,59.03
K7,7A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,11791.0,3.2752777777777777,40.62,313.77,0.399,0.288,2233.0,0.6202777777777778,44.72,317.87,9.18,0.09179999999999999,107.3,107300.0,3,2,Morgan et al. 2018 Supporting Information Table S1,57.5,54.76,69.82,57.67,Morgan et al. 2018 Supporting Information Table S3,3.275,0.6203,0.399,0.288,0.0918,313.77,317.87,107300,54.76
K8,8A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,11643.0,3.234166666666667,40.57,313.71999999999997,0.154,0.285,2237.0,0.6213888888888889,42.47,315.62,9.2,0.092,107.26,107260.0,3,2,Morgan et al. 2018 Supporting Information Table S1,93.92,98.07,99.95,99.95,Morgan et al. 2018 Supporting Information Table S3,3.234,0.6214,0.154,0.285,0.092,313.72,315.62,107260,98.07
K9,9A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,3175.0,0.8819444444444444,42.66,315.80999999999995,0.239,0.311,2232.0,0.62,44.87,318.02,9.22,0.0922,107.49,107490.0,3,2,Morgan et al. 2018 Supporting Information Table S1,52.3,55.48,57.55,54.85,Morgan et al. 2018 Supporting Information Table S3,0.882,0.62,0.239,0.311,0.0922,315.81,318.02,107490,55.48
K10,10A,mapped from 2018 K-row by bed/intercooler group and Appendix-C ordering,A: three beds with two intercoolers,3175.0,0.8819444444444444,48.59,321.74,0.062,0.297,2237.0,0.6213888888888889,42.15,315.29999999999995,9.18,0.09179999999999999,107.71,107710.0,3,2,Morgan et al. 2018 Supporting Information Table S1,89.69,98.43,95.35,94.69,Morgan et al. 2018 Supporting Information Table S3,0.882,0.6214,0.062,0.297,0.0918,321.74,315.3,107710,98.43
