case_no,L,G,alpha,w_MEA,y_CO2,Tl,Tv,P,Beds,Intercoolers,CO2  %,lean_solvent_temp_imputed,lean_solvent_temp_imputed_C
K1,1.89,0.6244444444444445,0.145,0.298,0.1155,314.12,315.63,108820.0,3,2,99.91,False,
K2,3.276111111111111,0.6230555555555556,0.247,0.312,0.114,313.66999999999996,318.09,107060.0,3,2,99.49,False,
K3,0.8819444444444444,0.6227777777777778,0.091,0.295,0.1058,318.83,316.82,107780.0,3,2,83.57,False,
K4,0.8819444444444444,0.6230555555555556,0.083,0.31,0.11449999999999999,319.87,317.88,107650.0,3,2,78.1,False,
K5,1.89,0.6208333333333333,0.108,0.306,0.0919,314.71999999999997,316.92999999999995,106940.0,3,2,99.53,False,
K6,1.89,0.6213888888888889,0.347,0.307,0.09119999999999999,314.02,315.33,107100.0,3,2,59.03,False,
K7,3.2752777777777777,0.6202777777777778,0.399,0.288,0.09179999999999999,313.77,317.87,107300.0,3,2,54.76,False,
K8,3.234166666666667,0.6213888888888889,0.154,0.285,0.092,313.71999999999997,315.62,107260.0,3,2,98.07,False,
K9,0.8819444444444444,0.62,0.239,0.311,0.0922,315.80999999999995,318.02,107490.0,3,2,55.48,False,
K10,0.8819444444444444,0.6213888888888889,0.062,0.297,0.09179999999999999,321.74,315.29999999999995,107710.0,3,2,98.43,False,
K11,1.89,0.6213888888888889,0.161,0.293,0.1001,313.97999999999996,317.54999999999995,107200.0,3,2,99.75,False,
K12,1.89,0.6197222222222222,0.16,0.293,0.0824,314.07,316.39,106370.0,3,2,99.61,False,
K13,1.89,0.6216666666666667,0.164,0.303,0.0935,315.08,315.24,107560.0,3,0,97.98,False,
K14,2.4569444444444444,0.8041666666666667,0.224,0.303,0.0901,313.55999999999995,320.82,107860.0,3,2,98.27,False,
K15,2.4569444444444444,0.8077777777777778,0.224,0.313,0.0907,313.75,315.97999999999996,108080.0,3,2,99.42,False,
K16,1.1466666666666667,0.8063888888888889,0.124,0.329,0.09210000000000002,317.59999999999997,318.57,108700.0,3,2,93.54,False,
K17,1.89,0.6222222222222222,0.168,0.307,0.0919,315.17999999999995,314.17999999999995,108120.0,2,0,97.61,False,
K18,1.89,0.6308333333333334,0.141,0.302,0.10189999999999999,315.39,319.21999999999997,109180.0,1,0,92.85,False,
K19,3.2758333333333334,0.4,0.184,0.278,0.11,314.04999999999995,319.33,108020.0,1,0,98.21,False,
K20,0.8819444444444444,0.36777777777777776,0.075,0.276,0.10980000000000001,318.45,319.24,108120.0,1,0,95.55,False,
K21,0.8819444444444444,0.3794444444444444,0.074,0.271,0.1018,318.33,319.26,107760.0,2,0,96.32,False,
K22,1.89,0.38305555555555554,0.13,0.281,0.1092,314.39,319.21,107510.0,2,1,99.49,False,
K23,1.89,0.3938888888888889,0.138,0.281,0.1013,314.38,319.26,107370.0,2,1,99.58,False,
