case_no,campaign_year,source_file,source_subset,configuration,absorber_beds,intercoolers,absorber_lean_solvent_flow_kg_h,absorber_flue_gas_flow_kg_h,absorber_lean_solvent_temp_C,absorber_inlet_gas_temp_C,absorber_top_pressure_kPa,absorber_inlet_gas_pressure_kPa,absorber_lean_loading_mol_co2_per_mol_mea,absorber_lean_solvent_mea_weight_fraction,absorber_inlet_gas_co2_mole_fraction,absorber_inlet_gas_o2_mole_fraction,absorber_rich_solvent_flow_kg_h,absorber_rich_solvent_temp_C,absorber_outlet_gas_temp_C,absorber_rich_solvent_pressure_outlet_kPa,absorber_rich_solvent_pressure_after_pump_kPa,absorber_rich_loading_mol_co2_per_mol_mea,absorber_rich_mea_weight_fraction,absorber_outlet_gas_co2_mole_fraction,absorber_outlet_gas_o2_mole_fraction,absorber_capture_pct_avg,absorber_capture_pct_std,summary_table_capture_pct,reported_model_capture_pct,heat_exchanger_rich_solvent_inlet_temp_C,heat_exchanger_rich_solvent_outlet_temp_C,heat_exchanger_lean_solvent_inlet_temp_C,heat_exchanger_lean_solvent_outlet_temp_C,stripper_rich_solvent_inlet_temp_C,stripper_rich_solvent_inlet_pressure_kPa,stripper_top_pressure_kPa,stripper_reboiler_temp_C,stripper_lean_solvent_pressure_after_pump_kPa,stripper_reboiler_duty_kW,absorber_temperature_profile_C_01,absorber_temperature_profile_C_02,absorber_temperature_profile_C_03,absorber_temperature_profile_C_04,absorber_temperature_profile_C_05,absorber_temperature_profile_C_06,absorber_temperature_profile_C_07,absorber_temperature_profile_C_08,absorber_temperature_profile_C_09,absorber_temperature_profile_C_10,absorber_temperature_profile_C_11,absorber_temperature_profile_C_12
1A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,8180.0,3000.0,44.1,43.4,109.4,115.2,0.24,0.3,0.082,0.111,8682.0,48.9,42.7,115.2,764.8,0.46,0.32,0.001,0.121,97.5,0.3,97.5,97.2,49.7,108.8,115.6,52.5,102.6,446.0,180.1,119.4,280.9,420.0,43.9,46.8,49.1,49.2,54.4,60.0,54.5,58.2,58.2,54.6,51.5,51.6
2A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,7130.0,2690.0,44.9,45.2,109.5,114.6,0.25,0.31,0.1,0.087,,47.9,50.9,115.0,716.7,0.45,0.29,0.008,0.097,93.4,0.3,93.4,90.2,48.8,109.9,116.7,51.5,101.4,445.8,182.6,120.5,273.6,437.0,60.9,60.5,54.7,63.3,48.8,55.3,48.4,45.2,48.0,47.9,48.3,50.5
3A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,3354.0,1500.0,45.6,43.3,107.9,110.1,0.24,0.31,0.108,0.073,3641.0,46.3,59.4,110.8,598.7,0.46,0.36,0.026,0.081,81.1,0.6,79.7,77.0,47.2,108.6,116.1,49.5,99.2,447.2,179.6,118.9,274.1,202.0,68.8,63.1,51.8,53.4,46.9,46.5,46.3,45.2,45.4,45.1,45.5,46.5
4A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,3600.0,3000.0,45.6,43.4,110.2,113.6,0.19,0.31,0.076,0.111,3863.0,46.4,56.6,113.6,601.8,0.46,0.32,0.027,0.118,70.6,1.1,70.6,66.6,47.1,109.6,117.5,49.3,100.6,445.4,179.9,119.6,273.5,253.0,61.3,56.2,44.8,49.9,44.1,43.0,42.5,45.0,45.3,45.2,45.6,46.5
5A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,3380.0,2750.0,45.5,45.7,109.8,112.8,0.2,0.31,0.107,0.074,3495.0,48.7,57.2,113.0,587.4,0.42,0.33,0.062,0.078,53.9,2.6,53.8,50.2,49.5,109.5,117.4,51.5,100.2,441.8,179.7,119.4,272.6,234.0,59.9,53.0,43.6,47.0,45.5,44.9,44.6,47.2,47.5,47.4,47.9,48.9
6A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,3130.0,1750.0,45.1,43.4,108.2,109.9,0.31,0.3,0.076,0.11,3366.0,45.2,51.8,110.3,591.5,0.46,0.3,0.044,0.115,51.7,0.9,51.7,60.6,45.9,104.2,110.4,48.1,97.4,449.7,179.0,115.3,273.2,118.0,57.4,53.2,39.4,47.8,36.2,39.0,38.9,40.0,42.6,42.6,43.5,47.4
7A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,4730.0,2255.0,45.1,43.5,109.2,111.8,0.23,0.3,0.109,0.071,5022.0,46.1,57.8,112.4,634.8,0.46,0.32,0.037,0.079,72.5,1.0,72.5,73.0,46.9,108.8,115.9,49.5,99.8,448.7,180.1,119.0,273.9,335.0,66.2,60.9,49.4,53.7,48.5,46.1,45.9,44.4,44.9,45.2,45.5,46.4
8A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,3230.0,2240.0,44.8,42.8,109.2,110.9,0.24,0.31,0.107,0.073,3628.0,46.0,57.5,111.7,578.3,0.46,0.31,0.057,0.078,56.3,1.8,56.3,51.8,46.9,109.8,118.0,49.2,99.9,446.7,180.1,120.2,271.8,366.0,62.0,54.5,44.5,48.4,44.5,43.4,42.6,44.4,44.8,44.5,45.0,45.9
9A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,3224.0,2245.0,45.9,43.4,108.8,111.6,0.14,0.31,0.108,0.073,3526.0,46.1,61.5,112.1,578.4,0.46,0.31,0.034,0.08,74.2,0.6,74.2,72.9,47.0,109.0,118.3,48.7,100.0,446.2,179.7,120.4,274.5,354.0,66.1,58.2,43.8,49.4,42.7,42.4,42.2,44.3,44.9,44.6,45.1,46.3
10A,2017,Morgan et al.md,2017 SDoE iteration 1,"3 beds, 2 intercoolers",3,2,7980.0,2492.0,44.8,43.1,109.0,114.5,0.32,0.3,0.109,0.072,8505.0,46.0,51.2,114.7,756.2,0.47,0.3,0.026,0.08,79.9,0.6,79.9,74.2,46.9,108.0,114.3,50.0,99.6,447.0,179.9,120.9,276.6,412.0,63.5,60.4,56.6,62.9,53.0,51.9,49.8,45.1,45.8,45.9,46.0,46.4
