case_no,L,G,alpha,w_MEA,y_CO2,Tl,Tv,P,Beds,Intercoolers,CO2  %,lean_solvent_temp_imputed,lean_solvent_temp_imputed_C,y_O2
1A,2.272222222222222,0.8333333333333334,0.24,0.3,0.082,317.25,316.54999999999995,109400.0,3,2,97.5,False,,0.111
2A,1.9805555555555556,0.7472222222222222,0.25,0.31,0.1,318.04999999999995,318.34999999999997,109500.0,3,2,93.4,False,,0.087
3A,0.9316666666666666,0.4166666666666667,0.24,0.31,0.108,318.75,316.45,107900.0,3,2,81.1,False,,0.073
4A,1.0,0.8333333333333334,0.19,0.31,0.076,318.75,316.54999999999995,110200.0,3,2,70.6,False,,0.111
5A,0.9388888888888889,0.7638888888888888,0.2,0.31,0.107,318.65,318.84999999999997,109800.0,3,2,53.9,False,,0.074
6A,0.8694444444444445,0.4861111111111111,0.31,0.3,0.076,318.25,316.54999999999995,108200.0,3,2,51.7,False,,0.11
7A,1.3138888888888889,0.6263888888888889,0.23,0.3,0.109,318.25,316.65,109200.0,3,2,72.5,False,,0.071
8A,0.8972222222222223,0.6222222222222222,0.24,0.31,0.107,317.95,315.95,109200.0,3,2,56.3,False,,0.073
9A,0.8955555555555555,0.6236111111111111,0.14,0.31,0.108,319.04999999999995,316.54999999999995,108800.0,3,2,74.2,False,,0.073
10A,2.216666666666667,0.6922222222222222,0.32,0.3,0.109,317.95,316.25,109000.0,3,2,79.9,False,,0.072
11A,0.8377777777777777,0.7669444444444444,0.16,0.31,0.096,318.95,316.04999999999995,109600.0,3,2,60.5,False,,0.086
12A,1.1583333333333334,0.8111111111111111,0.14,0.32,0.107,319.54999999999995,318.25,109700.0,3,2,75.4,False,,0.073
13A,1.9194444444444445,0.7444444444444445,0.26,0.3,0.108,318.04999999999995,317.75,109300.0,3,2,80.6,False,,0.073
14A,1.8069444444444445,0.6944444444444444,0.31,0.31,0.108,317.95,316.65,109200.0,3,2,57.8,False,,0.072
15A,2.2222222222222223,0.6927777777777778,0.32,0.3,0.108,318.04999999999995,316.04999999999995,109100.0,3,2,76.8,False,,0.072
1B,2.2108333333333334,0.6936111111111111,0.3,0.3,0.077,317.54999999999995,316.84999999999997,109700.0,3,2,96.1,False,,0.11
2B,2.7419444444444445,0.7627777777777778,0.3,0.3,0.088,317.84999999999997,318.84999999999997,109500.0,3,2,97.7,False,,0.098
3B,3.17,0.7633333333333333,0.3,0.3,0.108,317.54999999999995,320.45,109200.0,3,2,94.8,False,,0.071
1C,1.7180555555555554,0.5547222222222222,0.15,0.3,0.077,318.15,316.45,109100.0,1,0,97.1,True,45.0,0.108
2C,2.1569444444444446,0.6941666666666667,0.2,0.3,0.077,318.15,316.25,109600.0,1,0,92.3,True,45.0,0.109
3C,2.0880555555555556,0.5591666666666667,0.25,0.3,0.093,318.15,316.75,109500.0,1,0,89.5,True,45.0,0.09
4C,1.711111111111111,0.4166666666666667,0.25,0.3,0.108,318.04999999999995,316.45,107700.0,1,0,88.9,False,,0.075
5C,1.4547222222222222,0.4161111111111111,0.26,0.3,0.077,318.15,316.45,108400.0,1,0,86.4,False,,0.11
6C,2.129166666666667,0.75,0.31,0.31,0.077,317.95,316.54999999999995,109700.0,1,0,60.2,False,,0.109
7C,1.5038888888888888,0.2777777777777778,0.34,0.29,0.1,317.84999999999997,316.45,107300.0,1,0,76.4,False,,0.091
1D,1.3644444444444443,0.4166666666666667,0.3,0.3,0.1,317.95,316.54999999999995,107800.0,2,0,78.4,False,,0.091
2D,1.2777777777777777,0.5555555555555556,0.2,0.3,0.117,318.54999999999995,317.04999999999995,108700.0,2,0,80.5,False,,0.071
3D,2.6483333333333334,0.695,0.3,0.3,0.093,318.15,318.04999999999995,110000.0,2,0,87.0,True,45.0,0.09
4D,1.3147222222222221,0.5461111111111111,0.2,0.3,0.079,319.45,316.25,108600.0,2,0,96.4,False,,0.107
