Runs,L,G,alpha,w_MEA,y_CO2,Tl,Tv,P,Beds,Intercoolers,CO2  %
K1,1.89,0.6244,0.145,0.298,0.1155,314.12,315.63,108820,3,2,99.91
K2,3.276,0.6231,0.247,0.312,0.114,313.67,318.09,107060,3,2,99.49
K3,0.882,0.6228,0.091,0.295,0.1058,318.83,316.82,107780,3,2,83.57
K4,0.882,0.6231,0.083,0.31,0.1145,319.87,317.88,107650,3,2,78.1
K5,1.89,0.6208,0.108,0.306,0.0919,314.72,316.93,106940,3,2,99.53
K6,1.89,0.6214,0.347,0.307,0.0912,314.02,315.33,107100,3,2,59.03
K7,3.275,0.6203,0.399,0.288,0.0918,313.77,317.87,107300,3,2,54.76
K8,3.234,0.6214,0.154,0.285,0.092,313.72,315.62,107260,3,2,98.07
K9,0.882,0.62,0.239,0.311,0.0922,315.81,318.02,107490,3,2,55.48
K10,0.882,0.6214,0.062,0.297,0.0918,321.74,315.3,107710,3,2,98.43
K11,1.89,0.6214,0.161,0.293,0.1001,313.98,317.55,107200,3,2,99.75
K12,1.89,0.6197,0.16,0.293,0.0824,314.07,316.39,106370,3,2,99.61
K13,1.89,0.6217,0.164,0.303,0.0935,315.08,315.24,107560,3,0,97.98
K14,2.457,0.8042,0.224,0.303,0.0901,313.56,320.82,107860,3,2,97.98
K15,2.457,0.8078,0.224,0.313,0.0907,313.75,315.98,108080,3,2,98.27
K16,1.147,0.8064,0.124,0.329,0.0921,317.6,318.57,108700,3,2,99.42
K17,1.89,0.6222,0.168,0.307,0.0919,315.18,314.18,108120,2,0,97.61
K18,1.89,0.6308,0.141,0.302,0.1019,315.39,319.22,109180,1,0,92.85
K19,3.276,0.4,0.184,0.278,0.11,314.05,319.33,108020,1,0,98.21
K20,0.882,0.3678,0.075,0.276,0.1098,318.45,319.24,108120,1,0,95.55
K21,0.882,0.3794,0.074,0.271,0.1018,318.33,319.26,107760,2,0,96.32
K22,1.89,0.3831,0.13,0.281,0.1092,314.39,319.21,107510,2,1,99.49
K23,1.89,0.3939,0.138,0.281,0.1013,314.38,319.26,107370,2,1,99.58
